% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.918965472e+01 +6.918965472e+01 -3.336034528e+01 -3.336034528e+01 +8.3034e-01 -2.3087e+00 -2.9458e+00 -2.0155e+00 +4.1749e+00 -9.1561e-01 -3.3252e+00 -8.9365e-01 -1.4420e-01 +4.2085e-01 -1.9361e+00 -1.9567e+00 +4.7483e+00 +2.8089e+00 -4.9930e+00 +2.1396e+00 +2.9631e+00 +7.4839e-02 -5.4083e-01 -1.9772e+00
3 +4.181158098e+01 +4.181158098e+01 -6.073841902e+01 -6.073841902e+01 +2.7226e+00 +1.2159e+00 -4.5272e-01 +1.0962e+00 +3.8121e-01 -1.2325e+00 +4.4263e+00 -4.0624e+00 -1.4339e+00 -4.1868e-01 +4.2656e+00 +5.6670e-01 -3.0987e+00 -3.7609e+00 +1.7464e+00 +6.1671e-01 +1.9293e+00 -3.5144e-01 -2.0385e+00 +3.6899e+00
6 +2.546205276e+01 +2.546205276e+01 -7.708794724e+01 -7.708794724e+01 -4.4017e-01 +2.8928e+00 -4.5427e+00 +4.1083e+00 +3.7452e-01 -1.5540e+00 +5.3080e-01 +1.0714e+00 -1.3618e+00 -6.4946e-01 +1.5701e+00 +6.3029e-01 +3.9729e+00 +4.1191e-02 +4.2661e+00 -2.7273e+00 +1.9853e+00 -1.6582e+00 +3.0374e+00 -6.7256e-01
85 +2.117581946e+01 +2.117581946e+01 -8.137418054e+01 -8.137418054e+01 +1.2137e+00 -1.5703e+00 +1.3590e-01 -1.8198e+00 -4.1771e-02 -1.1621e+00 +1.8354e+00 -3.7221e+00 -4.8559e+00 -3.0790e+00 +1.3064e+00 +3.2509e-01 -4.3358e+00 -2.0338e+00 -1.5222e+00 -3.6976e-02 +1.1876e+00 -6.2565e-01 +7.5356e-01 -2.0315e-01
% function evaluation | noise-free fitness - Fopt (7.169000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.860721490e+01 +3.860721490e+01 +1.102972149e+02 +1.102972149e+02 +1.9183e+00 -2.2618e+00 +3.5560e+00 -1.2323e+00 -2.9228e+00 -4.8755e-01 +1.2768e+00 +1.1934e+00 +1.5495e+00 -1.3003e+00 +3.1930e+00 +4.0780e+00 +6.7384e-01 -8.8144e-01 +4.9233e+00 -1.6333e+00 +1.0203e+00 -3.1541e+00 +4.4001e+00 -1.5270e+00
39 +2.370117082e+01 +2.370117082e+01 +9.539117082e+01 +9.539117082e+01 +1.9564e+00 +1.7914e+00 -5.5399e-01 -2.5886e-01 -1.2420e+00 -1.0472e+00 +3.2631e+00 +3.4763e+00 -3.6180e+00 -2.3097e+00 -1.3891e+00 -2.2046e+00 -8.3835e-01 +1.3550e+00 -1.5685e+00 -1.8579e-01 +2.9596e+00 +4.9972e+00 +3.4217e+00 -1.4496e+00
% function evaluation | noise-free fitness - Fopt (2.140100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.025054488e+01 +5.025054488e+01 +2.642605449e+02 +2.642605449e+02 +4.8395e+00 +3.2607e+00 -4.4916e+00 -1.0958e+00 -1.1071e+00 +3.5713e+00 -4.6553e+00 +1.4874e+00 -2.8935e+00 -1.4659e+00 -4.5361e+00 +1.4507e+00 +3.8482e+00 +3.2856e+00 +1.1260e+00 +1.0728e+00 +1.1277e+00 -1.0223e+00 +1.2831e+00 -1.5473e+00
2 +3.769371876e+01 +3.769371876e+01 +2.517037188e+02 +2.517037188e+02 +1.6006e+00 +2.8645e+00 +3.5088e+00 +1.4012e+00 -4.9733e+00 +1.1910e-01 +1.3322e+00 -4.7543e+00 -3.3572e-01 -1.0614e+00 -1.5185e+00 -2.6005e+00 +3.8583e+00 +4.5297e+00 +4.3391e-01 +3.9940e-02 +4.7922e+00 +2.4021e+00 -3.8866e+00 -8.4204e-01
