% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.711175264e+03 +1.711175264e+03 +1.804115264e+03 +1.804115264e+03 -3.7961e+00 -4.7893e+00 -2.8582e+00 -3.8904e+00 -5.5320e-01 +4.1606e+00 +4.2147e+00 +3.2572e-01 +4.8135e+00 +9.3205e-01 -1.9185e+00 -1.5309e+00 +3.1756e+00 +3.7663e+00 +3.1319e+00 +2.2424e+00 -6.1986e-01 -4.5105e+00 -3.3344e-01 +2.4959e+00
13 +1.283263713e+03 +1.283263713e+03 +1.376203713e+03 +1.376203713e+03 +1.9557e+00 -3.3180e+00 -3.6307e+00 +3.9255e+00 -3.4798e+00 +1.8435e+00 -1.8920e+00 +2.4441e+00 +3.9055e+00 +2.4766e+00 +3.2635e+00 -4.6188e+00 +9.1213e-01 +1.5831e+00 +3.1865e+00 +2.0783e+00 -1.6401e+00 -2.6087e+00 +4.7514e+00 +4.1975e+00
27 +9.360949654e+02 +9.360949654e+02 +1.029034965e+03 +1.029034965e+03 -7.5545e-02 +3.9640e+00 +3.2458e+00 +4.5621e+00 -1.1899e+00 +4.6461e+00 -1.9776e+00 +4.7211e+00 +1.9017e+00 +2.9435e+00 -4.7585e+00 -4.6824e+00 +4.1314e+00 -3.0844e+00 +4.0499e+00 -4.0877e+00 -4.4624e+00 +4.3869e+00 +1.2877e+00 -3.4171e+00
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.321128121e+03 +4.321128121e+03 +4.356478121e+03 +4.356478121e+03 -6.5254e-01 +4.7936e-01 -3.9046e+00 -1.0557e+00 +3.2821e+00 +4.2732e-01 -8.6571e-01 +2.7217e+00 -1.5847e+00 +1.2117e+00 -3.8175e-01 -2.9277e+00 +4.6541e+00 -1.4424e+00 +2.4982e+00 +2.0910e+00 -1.1006e+00 -4.1434e-01 -3.8511e-01 +3.9706e+00
13 +1.719038719e+03 +1.719038719e+03 +1.754388719e+03 +1.754388719e+03 +4.5828e-01 +3.3713e+00 -9.8278e-01 -1.6251e+00 +1.1559e+00 +1.7530e+00 -2.3318e+00 +1.2771e-01 +3.0055e+00 +2.3799e+00 +5.2660e-01 +2.3943e+00 +3.9580e+00 +3.6306e+00 -2.3859e+00 +3.3980e-01 +4.6755e+00 -2.9187e+00 +4.9394e+00 +1.1631e-01
32 +1.052403377e+03 +1.052403377e+03 +1.087753377e+03 +1.087753377e+03 +1.7990e+00 +2.7833e+00 +7.9319e-01 +4.9864e+00 -8.4910e-01 -1.5630e+00 +3.5241e+00 -2.4445e+00 +3.5927e+00 -1.1570e+00 +6.8187e-01 +8.6945e-01 +2.4000e+00 +4.0109e+00 -4.7283e+00 -1.5842e+00 +2.0836e+00 -9.8803e-01 -1.2336e+00 +2.3855e-01
116 +8.905505411e+02 +8.905505411e+02 +9.259005411e+02 +9.259005411e+02 +5.5742e+00 +2.0678e+00 +2.2495e+00 +8.2248e-01 -3.3854e+00 -3.1441e+00 +1.4102e+00 +1.6429e+00 +3.4682e+00 -8.7701e-01 -1.7953e+00 -7.2650e-01 +4.4629e+00 +6.4574e+00 -6.0599e+00 +2.8925e-01 -7.0696e-01 +2.6583e+00 +2.3507e+00 -4.8590e+00
119 +3.059691122e+02 +3.059691122e+02 +3.413191122e+02 +3.413191122e+02 +3.6953e-01 +2.3702e+00 +6.5904e+00 +4.5844e+00 -2.6564e+00 -6.4317e-01 -8.3457e-01 -1.9240e+00 +2.7029e+00 -3.0896e+00 +3.2127e+00 -1.7388e+00 +1.9308e+00 +8.6135e+00 -2.6070e-01 +3.4879e+00 +1.9965e+00 -9.8807e-01 -1.8088e+00 -4.3406e+00
% function evaluation | noise-free fitness - Fopt (3.820000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
