% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.874604164e+02 +4.874604164e+02 +4.782504164e+02 +4.782504164e+02 +4.2129e+00 -4.1782e+00 -4.0954e-01 -1.8528e+00 -1.9840e+00 -3.8339e+00 +1.2601e+00 +4.4571e+00 -1.9520e+00 +2.8590e+00 +1.7650e+00 -3.9523e+00 -4.3406e+00 -4.9382e+00 +1.6587e+00 -3.9143e-01 +4.4747e+00 -4.1417e+00 +1.0310e+00 -2.9493e+00
3 +3.337645368e+02 +3.337645368e+02 +3.245545368e+02 +3.245545368e+02 -2.0638e+00 -1.8537e+00 -4.0463e+00 -4.0323e+00 +4.5712e-01 +1.8184e+00 +4.2970e+00 +7.3846e-01 +2.7125e+00 +4.7686e+00 -4.9011e+00 +1.5364e+00 -4.7500e+00 +6.5273e-02 -4.0535e-01 +1.0390e+00 +4.3980e+00 -2.8678e-01 -3.8385e+00 +2.5699e+00
107 +2.050169692e+02 +2.050169692e+02 +1.958069692e+02 +1.958069692e+02 +1.2094e+00 -1.6877e+00 +3.4501e+00 +3.5566e+00 +1.0824e+00 -3.6592e+00 +5.8292e+00 +6.7673e+00 -3.5581e+00 +1.3474e+00 -1.7112e+00 -3.3408e+00 +4.0557e+00 -1.8510e+00 +2.4439e+00 -3.7271e+00 +3.8888e+00 +4.8514e+00 -5.6466e+00 +3.9416e+00
% function evaluation | noise-free fitness - Fopt (6.559900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.871191148e+02 +2.871191148e+02 +9.431091148e+02 +9.431091148e+02 -3.8048e+00 -4.0301e+00 +4.0645e+00 -4.3827e-01 +3.1077e-01 -2.4620e+00 +3.9177e-01 +4.4693e+00 -4.4241e+00 -1.1960e+00 +8.5016e-02 -3.2660e+00 +1.2886e+00 -2.9760e+00 +8.8445e-01 +2.3392e+00 +9.1133e-01 -1.0815e+00 +3.7152e+00 +2.6269e+00
103 +1.828311368e+02 +1.828311368e+02 +8.388211368e+02 +8.388211368e+02 +1.7312e+00 -4.4645e+00 -2.0642e+00 +4.9818e+00 -4.1794e+00 -1.9434e+00 +1.6623e-01 +1.4228e-01 -3.6395e+00 -6.5842e+00 +3.0965e+00 +1.0028e-01 +5.0459e+00 -2.6496e+00 +4.8925e+00 -3.2853e+00 -7.2662e-02 -4.5724e+00 +4.9152e+00 +3.3678e+00
% function evaluation | noise-free fitness - Fopt (6.671000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.783441010e+02 +3.783441010e+02 +4.450541010e+02 +4.450541010e+02 +7.0781e-01 -2.5609e+00 -8.6217e-01 -1.2030e+00 +1.1814e+00 +3.6289e+00 +4.3895e+00 -2.4621e+00 +5.2895e-01 -2.5293e+00 +8.4791e-02 +7.2220e-01 -3.0848e-01 +4.2945e+00 -2.9183e+00 -4.3680e+00 -5.9733e-01 -3.2910e+00 -8.3245e-01 +1.8858e-01
64 +2.384986938e+02 +2.384986938e+02 +3.052086938e+02 +3.052086938e+02 +4.8772e+00 +7.0396e-01 -4.6922e-01 +8.5614e-01 -1.6213e+00 -3.1544e+00 +3.2851e+00 +1.4253e+00 +3.0304e+00 -4.2967e+00 -4.1223e+00 -4.4818e+00 +3.4990e+00 +4.1900e+00 +2.0840e-01 +9.6261e-01 -3.5823e+00 -3.4366e+00 +4.9653e-01 -3.6499e+00
% function evaluation | noise-free fitness - Fopt (9.416700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.509439099e+02 +3.509439099e+02 +1.292613910e+03 +1.292613910e+03 -3.9835e+00 +9.5677e-01 -4.3878e+00 -1.1746e+00 -4.7176e+00 -4.0339e+00 +2.4348e+00 -4.5550e+00 -1.4445e-01 -4.8333e+00 +1.7458e+00 -2.8466e+00 +1.0421e+00 -4.1996e-01 -5.2927e-01 +4.0424e+00 +7.6793e-01 +3.4087e+00 +2.4019e-01 -2.0135e+00
13 +2.399318554e+02 +2.399318554e+02 +1.181601855e+03 +1.181601855e+03 -3.8097e+00 -7.3000e-01 +3.5735e+00 +2.8300e+00 +2.9514e-01 -4.5702e+00 -4.2954e+00 +3.2926e-01 -2.3260e+00 -6.6536e-01 -1.1532e-01 +2.7801e+00 -2.2141e+00 -3.5563e+00 +3.7037e+00 +4.1573e+00 -3.3486e-01 -3.2743e+00 +4.9244e+00 +3.1334e+00
% function evaluation | noise-free fitness - Fopt (-3.745000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.575330464e+02 +4.575330464e+02 +4.200830464e+02 +4.200830464e+02 +4.0879e+00 +1.1566e+00 +2.3840e+00 +1.6171e+00 -1.1587e+00 +2.3074e+00 -2.1522e+00 -4.6557e+00 +1.0456e+00 +1.0910e+00 -3.7475e+00 +4.6471e+00 +4.0293e+00 -4.3276e+00 -3.0334e+00 -4.5225e+00 -9.5997e-01 -4.2070e+00 -2.1720e+00 +1.6135e-01
2 +3.865013905e+02 +3.865013905e+02 +3.490513905e+02 +3.490513905e+02 -1.9139e+00 +8.6850e-01 +1.8391e+00 -5.0929e-01 +2.3583e-01 +1.6992e+00 +1.9259e+00 -2.0406e+00 +1.7440e+00 -2.5610e+00 -1.0370e+00 -1.8606e+00 +4.9872e+00 -4.0765e-02 +3.5256e+00 +7.7946e-01 +1.4407e+00 +9.7791e-01 +2.3507e+00 +8.6481e-01
8 +2.508238247e+02 +2.508238247e+02 +2.133738247e+02 +2.133738247e+02 -9.5217e-01 -2.7057e+00 -5.8741e-01 +6.2137e-01 -7.1616e-01 -3.9250e+00 -2.7407e+00 -3.5268e+00 -7.1067e-01 +3.5511e+00 +4.8281e+00 +3.6630e+00 +2.4597e+00 -5.9683e-01 +2.6175e+00 +7.4284e-01 -3.3590e+00 +3.1260e+00 +4.8331e+00 -1.6850e+00
% function evaluation | noise-free fitness - Fopt (2.906200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.920556272e+02 +3.920556272e+02 +6.826756272e+02 +6.826756272e+02 -3.0113e+00 -7.4265e-01 +2.0327e+00 -2.7116e+00 -3.4115e+00 +1.2725e+00 +3.2267e+00 +2.8311e-01 -1.8092e+00 -4.3101e+00 +4.6953e-01 -1.5126e+00 +3.6526e+00 -3.3857e+00 -2.1532e-01 +1.5714e+00 +8.6678e-01 +2.4928e+00 +4.1014e+00 +1.6584e+00
74 +1.771000297e+02 +1.771000297e+02 +4.677200297e+02 +4.677200297e+02 -2.1807e+00 +3.7883e+00 -2.9347e+00 -4.4399e+00 -4.2726e+00 -4.0107e+00 -9.0371e-01 +1.2807e+00 -1.6829e+00 -1.6258e+00 -4.8627e+00 -3.1854e+00 -4.2026e+00 +3.7658e-01 -3.8144e+00 +4.8911e+00 +4.6963e+00 -4.9892e+00 -1.4793e+00 -4.2967e+00
110 +1.191309085e+02 +1.191309085e+02 +4.097509085e+02 +4.097509085e+02 -5.6566e-02 +8.9292e-03 -4.4082e+00 -1.4389e+00 +1.0738e-01 -5.8314e+00 -2.1162e+00 -3.3502e+00 -4.0614e+00 +2.6556e+00 -5.1461e+00 +2.8614e+00 -4.3260e+00 -4.3811e+00 -4.7420e+00 +7.8461e+00 +4.4795e+00 -8.9510e-01 +4.7669e+00 -6.7068e+00
% function evaluation | noise-free fitness - Fopt (-1.015300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
