% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.797608845e+01 +3.797608845e+01 +2.103608845e+01 +2.103608845e+01 +3.4282e+00 -8.7235e-01 +1.9211e+00 -9.3693e-02 +2.1471e-01 -4.0236e-01 -1.8704e-01 -4.8935e+00 +8.2786e-01 -3.8638e+00 -8.7111e-01 +4.2600e+00 +2.3644e+00 -4.8177e+00 -9.8199e-01 +7.9632e-03 -2.8920e+00 +3.2957e+00 -2.5698e+00 +7.0093e-01
2 +1.933481124e+01 +1.933481124e+01 +2.394811243e+00 +2.394811243e+00 +4.8217e+00 +3.3292e+00 -4.2122e+00 -1.3041e+00 +3.7223e-01 -3.0248e+00 -1.1516e+00 -4.1210e+00 +4.0827e+00 -2.9440e+00 +4.3698e+00 +2.4847e+00 -1.8088e+00 -3.0026e+00 -4.0250e+00 +3.2583e+00 +4.9382e+00 +4.8322e+00 +3.3592e+00 -2.9369e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.372268752e+01 +4.372268752e+01 +6.253268752e+01 +6.253268752e+01 +4.8797e+00 -2.8994e+00 -2.1563e+00 -1.7772e-01 +3.3301e+00 -7.6140e-01 -2.4839e+00 -3.0594e+00 +1.6660e+00 +4.4404e+00 +4.3513e-01 +4.8386e+00 -7.3205e-01 +1.8522e+00 -8.3415e-01 +1.7688e+00 +3.6188e+00 -1.5153e+00 -2.9645e+00 -3.3736e+00
6 +3.254649548e+01 +3.254649548e+01 +5.135649548e+01 +5.135649548e+01 +1.7420e-01 -4.4485e+00 +1.1819e+00 -9.3949e-01 +1.1050e+00 +3.1646e+00 +3.7724e+00 +2.2374e+00 +4.2558e+00 +4.3047e+00 +4.0625e+00 -1.2374e+00 -2.0145e+00 -4.9625e+00 -3.3425e+00 -4.6302e+00 -4.0800e+00 +1.7580e+00 +1.8448e-01 +1.5917e+00
8 +2.420560074e+01 +2.420560074e+01 +4.301560074e+01 +4.301560074e+01 -4.8963e+00 +2.5602e+00 -3.3748e+00 +4.6320e+00 -1.1106e+00 +1.3679e+00 -2.7626e+00 +2.9791e+00 +9.8327e-02 +3.6870e+00 -1.6209e+00 -1.7553e+00 +4.5193e+00 +3.3775e+00 -4.5632e+00 +1.7000e-01 -8.4030e-01 +3.5351e+00 -3.5772e+00 -1.6140e+00
39 +1.301259433e+01 +1.301259433e+01 +3.182259433e+01 +3.182259433e+01 -1.6177e-01 +2.6846e+00 +3.6952e+00 +6.5160e-03 +1.5715e+00 +3.9474e-01 +1.9039e+00 +3.7751e+00 -3.8792e-01 +2.0784e-01 -2.8201e+00 +3.7777e+00 +2.9209e+00 +2.3915e+00 +4.1661e+00 +1.7339e+00 -3.0019e+00 +4.2428e+00 +3.0630e+00 -2.5363e-01
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.916951054e+01 +6.916951054e+01 +3.423195105e+02 +3.423195105e+02 +1.2818e+00 +1.9221e+00 +8.8523e-02 +1.9916e-01 +3.5400e+00 -3.3253e+00 +9.2661e-01 -1.7410e+00 -6.2336e-01 +4.8161e+00 -7.3902e-03 -3.1671e+00 -1.0298e+00 +4.7592e+00 -2.3149e+00 +4.1214e-01 -3.3973e+00 -4.1054e+00 -4.5420e+00 +8.7389e-01
7 +3.608058452e+01 +3.608058452e+01 +3.092305845e+02 +3.092305845e+02 -2.5268e+00 +3.5474e+00 +4.3005e+00 +1.7233e+00 +2.0157e+00 -3.2528e+00 +2.9641e+00 +3.3728e+00 -2.6427e+00 -2.7549e-01 -9.0373e-01 -5.8809e-01 +4.4397e+00 +2.0551e-01 +4.9410e+00 +1.7938e+00 +3.8853e+00 -8.7424e-01 -7.6329e-01 -2.8475e+00
71 +2.095684856e+01 +2.095684856e+01 +2.941068486e+02 +2.941068486e+02 -3.6894e+00 +1.9693e+00 +1.9174e+00 +3.0753e+00 -1.1645e+00 +3.0371e+00 -4.3493e+00 -1.1899e+00 -4.8132e-02 +2.9137e+00 +4.9853e+00 +2.7165e-01 +3.8178e+00 +1.1914e+00 +4.4237e+00 -4.5223e+00 +4.7563e+00 -5.3437e-02 -4.7703e-02 -8.4446e-01
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.845549627e+01 +7.845549627e+01 +1.156354963e+02 +1.156354963e+02 -1.3633e+00 -4.9038e+00 -2.1570e+00 +1.7875e+00 +2.5835e+00 -9.0256e-01 -3.4540e+00 +2.4581e+00 -4.4749e+00 +9.9946e-01 +2.9407e-01 +1.4412e+00 +4.8554e+00 -9.8811e-01 -5.8508e-02 -2.3245e+00 +3.9693e+00 -2.3610e+00 -5.8364e-01 -2.9629e+00
2 +4.529839434e+01 +4.529839434e+01 +8.247839434e+01 +8.247839434e+01 +4.6789e+00 +4.9836e+00 -2.5335e+00 -1.5019e+00 +2.4486e+00 +5.6852e-01 -8.5191e-01 -3.0816e+00 +3.9983e+00 +3.2715e+00 +3.6670e+00 +9.0558e-01 +5.9463e-02 +4.3457e-01 +2.0038e+00 -1.6287e+00 +3.1500e+00 -2.9020e+00 +2.5885e+00 -1.5493e+00
4 +1.838947963e+01 +1.838947963e+01 +5.556947963e+01 +5.556947963e+01 -2.5782e+00 -4.8498e-01 -1.9748e+00 +3.0081e-02 -1.0964e+00 -1.0268e+00 +2.3819e+00 +1.5828e+00 +1.6353e+00 +3.1888e+00 +1.0683e+00 -2.4738e+00 +1.4498e+00 +2.6867e+00 +4.5391e+00 -2.5089e+00 -1.7961e+00 +2.9610e+00 +4.2937e+00 -4.4399e+00
8 +1.477285769e+01 +1.477285769e+01 +5.195285769e+01 +5.195285769e+01 -3.2303e+00 -1.8931e+00 -9.2444e-01 -1.8639e+00 -2.4639e+00 +2.9813e+00 +4.4751e+00 -2.1624e+00 +2.4500e+00 +3.9985e+00 -2.9573e+00 +3.5820e+00 +2.2516e+00 +3.9381e+00 +5.3325e-01 -4.3875e+00 -3.4355e+00 -1.1397e+00 -1.7988e+00 -9.6544e-01
% function evaluation | noise-free fitness - Fopt (-1.479000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.075296685e+01 +2.075296685e+01 -1.271470331e+02 -1.271470331e+02 +4.0746e+00 +1.1620e+00 -3.8558e+00 -1.7910e+00 -3.8299e+00 +9.6734e-01 +2.0421e+00 -3.3411e+00 +1.3630e+00 +2.7944e+00 -2.2631e+00 +2.0004e+00 -1.5793e+00 -2.0900e-01 +4.2677e-01 +3.6064e+00 -3.3711e+00 +4.1036e+00 -3.5420e-01 -4.0860e+00
60 +1.564143974e+01 +1.564143974e+01 -1.322585603e+02 -1.322585603e+02 +1.5678e+00 +7.0896e-01 -2.0756e+00 -1.0450e+00 -6.0156e-01 +2.4942e+00 +6.3341e-01 -1.1402e+00 -2.4536e+00 +1.1373e+00 -2.7003e+00 -1.2547e+00 +3.3407e+00 +8.6160e-02 -3.8058e+00 +3.5633e+00 +5.3833e-01 +4.8968e+00 +5.3386e-02 -3.6762e+00
% function evaluation | noise-free fitness - Fopt (-2.218900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.305788619e+01 +5.305788619e+01 -1.688321138e+02 -1.688321138e+02 -2.8373e+00 -4.5473e+00 +1.3775e+00 +1.7768e+00 -1.5024e+00 -4.0573e+00 -4.4172e+00 -4.2661e+00 -2.8136e+00 +4.5234e+00 -2.9793e+00 -4.1379e+00 +1.9619e+00 -3.8409e-01 -2.1791e+00 +1.1245e-01 +2.1353e+00 -6.7592e-01 +4.8211e+00 -7.1785e-01
2 +2.953282557e+01 +2.953282557e+01 -1.923571744e+02 -1.923571744e+02 +4.3085e+00 -1.3129e+00 +2.3497e+00 -4.3960e-01 -1.8771e+00 +2.3539e+00 +4.2634e+00 +3.3182e+00 +3.7683e+00 -1.8710e+00 -3.3757e+00 -3.8862e+00 +1.2920e-01 -4.9153e-01 -4.6566e-01 -3.6880e+00 +1.9426e-01 +2.5310e+00 +4.4526e+00 -3.6902e-01
3 +2.158289974e+01 +2.158289974e+01 -2.003071003e+02 -2.003071003e+02 +1.4667e+00 -2.9788e+00 -3.7326e+00 -2.5122e+00 -4.5420e-01 +8.9212e-01 +3.0819e+00 -2.1606e+00 -3.1040e+00 -2.7149e+00 -3.8202e-01 +6.7092e-02 +1.0026e+00 -1.2845e+00 -6.8992e-01 -9.3934e-01 -4.7165e+00 -2.3149e+00 +2.2304e+00 +3.7080e+00
59 +1.523479716e+01 +1.523479716e+01 -2.066552028e+02 -2.066552028e+02 +3.2592e-01 -4.7309e-01 -1.4174e+00 +2.3276e+00 -2.3351e+00 -3.0141e+00 -6.3755e-02 +1.2403e+00 +2.5702e+00 -3.1004e-01 -4.7910e+00 -1.5467e-01 -2.6697e+00 +2.6976e+00 -3.9357e+00 -3.4672e+00 -4.3170e+00 +1.9511e+00 -1.5173e+00 -1.6009e+00
% function evaluation | noise-free fitness - Fopt (1.195400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.763170059e+01 +2.763170059e+01 +1.471717006e+02 +1.471717006e+02 -3.6315e+00 -8.3423e-01 -2.5554e+00 -3.4620e+00 -1.7139e+00 +2.0121e+00 -3.9737e+00 +2.7892e+00 +1.7827e+00 +3.1503e+00 +2.5762e+00 +3.5795e+00 +1.6657e+00 +3.3707e+00 +2.8132e+00 +3.5260e-01 +3.1742e+00 -1.1036e+00 -1.0541e+00 +1.0612e-01
4 +2.207300369e+01 +2.207300369e+01 +1.416130037e+02 +1.416130037e+02 -2.9091e+00 +1.4289e+00 -5.2118e-01 +2.3208e-01 -2.8917e+00 -4.0425e+00 +5.4586e-01 -1.7153e+00 +2.6620e+00 +3.1281e+00 +3.6342e+00 -4.9437e+00 +1.3508e+00 +1.3668e+00 +7.4644e-01 -2.7223e+00 -1.0171e+00 +1.9008e+00 +2.6941e+00 +1.0004e+00
19 +1.530439583e+01 +1.530439583e+01 +1.348443958e+02 +1.348443958e+02 -5.5723e-01 +2.3691e+00 +2.3341e+00 +2.2805e+00 -2.9925e-01 -1.8176e+00 -3.7620e-01 +4.3714e+00 -3.7977e-01 +1.9263e+00 -1.9244e+00 +2.4521e+00 -1.5854e+00 +1.0034e+00 -2.0455e+00 -3.8779e+00 -2.1853e+00 -2.4099e-01 +3.1060e-01 +4.2942e+00
% function evaluation | noise-free fitness - Fopt (6.983000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.865807930e+01 +8.865807930e+01 +1.584880793e+02 +1.584880793e+02 +4.5588e+00 -5.8187e-01 -2.7605e-01 -3.8254e+00 -2.3040e+00 -5.4775e-01 -3.3840e+00 +3.0827e+00 +8.1302e-01 -2.7853e+00 +4.8514e+00 -4.0269e+00 -2.1747e+00 -4.3950e+00 -1.5128e+00 -2.1970e+00 -3.4064e-01 +1.7467e+00 +1.5084e+00 +4.6432e+00
3 +2.489462044e+01 +2.489462044e+01 +9.472462044e+01 +9.472462044e+01 -4.7038e+00 +2.8655e+00 -1.8312e+00 +8.4696e-01 -4.5235e+00 -1.1092e+00 -3.4237e+00 +4.2329e+00 -4.1308e-02 +1.5078e+00 -2.0778e+00 +1.3669e+00 +3.0573e+00 +1.1347e+00 -2.9308e+00 +3.9130e+00 +1.3963e+00 +2.9715e+00 +1.4603e-01 +2.3819e+00
