% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.384975416e+05 +6.384975416e+05 +6.385738116e+05 +6.385738116e+05 -2.7365e+00 -3.0646e+00 +4.5431e+00 +4.4121e+00 +3.0514e+00 -4.2166e+00 +3.7548e+00 +2.1889e+00 +4.9471e+00 +2.5784e+00 -1.1058e+00 +4.4554e+00 -2.7345e+00 +6.8077e-01 -4.5226e+00 -1.8892e+00 -3.5036e+00 -4.4099e+00 +2.9704e+00 -1.3098e+00
3 +2.662639335e+04 +2.662639335e+04 +2.670266335e+04 +2.670266335e+04 -1.9807e+00 -2.2231e+00 +3.6487e+00 -2.3573e+00 +1.4509e+00 -1.6884e-01 +4.9115e+00 -1.0773e+00 -2.4449e+00 -2.4423e+00 +3.1055e+00 +2.8450e+00 +1.4315e+00 -1.0127e-01 -9.4988e-01 -4.7098e-01 -2.8152e+00 -3.1460e+00 -1.1585e+00 +2.4093e+00
141 +8.628942790e+03 +8.628942790e+03 +8.705212790e+03 +8.705212790e+03 -4.8275e+00 -4.2687e+00 +1.0630e+00 -2.9411e+00 -3.2914e+00 +4.8131e+00 +5.6309e+00 +4.6368e+00 -4.4317e+00 -4.4498e+00 +2.5435e+00 -3.7983e+00 +3.7418e+00 +1.8333e+00 +1.5749e+00 -2.9632e+00 -3.8156e+00 +1.6172e+00 -2.8251e+00 +6.5078e+00
161 +5.064276914e+02 +5.064276914e+02 +5.826976914e+02 +5.826976914e+02 +2.2775e+00 -2.0039e+00 +1.5664e+00 -3.3601e+00 +4.9624e+00 +9.2702e-01 +6.0698e+00 +1.2676e+00 -6.9269e+00 +4.8791e+00 +7.5387e-01 -8.7548e-01 +3.1005e+00 +4.0992e+00 -1.5957e+00 +7.0666e-01 -4.3529e+00 -2.3866e+00 -7.0594e-01 -9.3306e-01
% function evaluation | noise-free fitness - Fopt (-2.255000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.208769991e+07 +2.208769991e+07 +2.208767736e+07 +2.208767736e+07 -2.8589e+00 +2.9793e+00 -2.5558e+00 -1.4496e+00 -4.6611e+00 -2.2761e+00 -1.1545e+00 +9.1245e-01 -1.8938e+00 -4.3478e+00 -8.2659e-02 -1.0324e+00 +3.6787e+00 +1.3184e+00 -5.7145e-01 -3.9456e-01 +3.5598e+00 -4.2298e+00 -2.5989e+00 -3.4824e+00
2 +9.673440619e+05 +9.673440619e+05 +9.673215119e+05 +9.673215119e+05 +7.4619e-02 +4.3404e+00 +6.8269e-01 +1.1685e+00 -1.5246e+00 -3.3789e+00 +3.9310e+00 -4.7898e+00 +2.9718e+00 +4.1223e+00 +7.5229e-01 -2.6664e+00 -2.3974e+00 -4.5203e-01 -2.5219e+00 -3.8981e+00 -2.7972e+00 +1.1510e+00 +1.1773e-01 -2.1425e+00
3 +1.234551874e+05 +1.234551874e+05 +1.234326374e+05 +1.234326374e+05 +1.3012e-02 +9.7091e-01 +3.9114e+00 +3.0431e+00 -2.3638e+00 -4.3844e+00 +1.7494e+00 -2.0489e+00 -7.5231e-01 -3.8493e+00 -4.7705e+00 -4.5138e+00 +1.0588e+00 +2.7167e+00 +1.8163e+00 +1.6050e+00 -1.2397e+00 -2.8867e+00 +1.2542e+00 +3.0279e+00
31 +4.630707274e+04 +4.630707274e+04 +4.628452274e+04 +4.628452274e+04 +2.5888e+00 -2.4277e+00 +3.0119e+00 -6.2688e-02 -9.9433e-01 +1.5885e+00 -4.4800e+00 -4.5806e+00 +1.8341e+00 +1.0940e+00 -5.0605e-02 -3.3833e+00 -2.8025e+00 -3.7473e+00 -1.7163e+00 -4.9288e+00 +7.2198e-01 +3.1231e+00 +8.7431e-01 +3.7654e+00
34 +9.124659473e+02 +9.124659473e+02 +8.899159473e+02 +8.899159473e+02 +4.2641e+00 +3.8329e+00 -2.0241e+00 -1.0723e+00 -9.2482e-01 +1.0247e+00 -2.1678e+00 -3.6974e+00 -1.6058e+00 +2.1726e+00 -4.3339e-03 +1.1842e+00 +3.9611e-01 -2.4426e+00 +4.2052e+00 -3.8159e+00 +3.1177e+00 -3.5007e+00 +2.0915e+00 -4.8822e+00
