% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.266250423e+07 +2.266250423e+07 +2.266229435e+07 +2.266229435e+07 +2.3202e+00 +1.6414e+00 -3.7656e+00 -4.6072e+00 +9.4085e-01 -4.9913e-01 -4.9354e+00 +1.4491e+00 -3.9385e+00 -2.9817e+00 +2.6616e+00 +5.7147e-01 -2.7963e+00 -2.4027e+00 +1.7547e+00 +2.9744e+00 +2.5647e-01 -4.1050e+00 +1.4580e+00 +2.6903e+00
2 +3.679284779e+06 +3.679284779e+06 +3.679074899e+06 +3.679074899e+06 -7.9858e-01 -3.9553e+00 +4.9647e+00 -3.2154e+00 +2.7110e+00 +3.7041e+00 +3.9274e+00 +3.5288e+00 +3.0368e+00 +3.4387e+00 +7.5109e-01 +2.8970e+00 -4.9141e+00 -4.2751e+00 -3.8307e+00 -4.1614e+00 -1.9142e+00 +1.4445e+00 -4.6589e-01 +2.5043e+00
101 +1.827840534e+06 +1.827840534e+06 +1.827630654e+06 +1.827630654e+06 +1.7004e+00 -8.2690e-01 -4.1602e+00 +8.8139e-01 -4.2296e+00 +1.6052e+00 -3.5086e+00 +8.7218e-01 +4.6928e+00 +4.7153e+00 +3.8601e+00 +1.1511e+00 -4.2811e+00 -1.9074e+00 -2.5438e+00 -1.5069e+00 -1.2858e+00 +4.3888e+00 -1.7787e+00 +2.2065e+00
114 +1.208475569e+06 +1.208475569e+06 +1.208265689e+06 +1.208265689e+06 -1.2448e-01 +2.6147e-01 +6.3863e-01 -1.6475e+00 -4.9171e+00 +5.0722e+00 -5.1021e+00 +2.3659e+00 +3.2883e+00 -5.0129e+00 +5.1210e+00 +3.1599e+00 +1.7483e+00 -4.1339e+00 -2.8659e+00 -2.1668e+00 -2.5416e+00 +2.4183e+00 -3.3480e+00 +2.4340e+00
% function evaluation | noise-free fitness - Fopt (-9.209000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.291369302e+07 +2.291369302e+07 +2.291360093e+07 +2.291360093e+07 -4.2219e+00 +2.4600e+00 -1.4874e+00 -3.7853e+00 +3.5421e-01 +1.5249e+00 -2.2437e+00 -3.5382e+00 -4.1913e+00 +1.7096e+00 +2.0881e+00 +4.4609e+00 -4.1356e-01 -3.4138e+00 -2.9715e-01 +6.8487e-01 -4.7783e+00 -4.8781e+00 +9.1640e-01 +8.2091e-01
2 +1.074577905e+07 +1.074577905e+07 +1.074568696e+07 +1.074568696e+07 +3.3976e+00 -4.8283e+00 -1.4807e+00 -8.3871e-01 -3.6382e+00 +2.3353e+00 +7.8357e-01 +3.2000e-01 -2.6766e+00 +2.0368e+00 +3.9913e-01 -1.4968e-01 -4.3863e+00 +1.5688e+00 -3.3817e+00 -3.0114e-01 +4.3700e+00 +3.7516e+00 +8.0149e-01 -2.9049e-01
10 +9.143663539e+06 +9.143663539e+06 +9.143571449e+06 +9.143571449e+06 -3.9186e-01 +2.9181e+00 +2.8599e+00 +4.9945e+00 -4.4277e+00 +6.4692e-01 +3.9044e+00 +2.1884e+00 +1.7934e+00 +1.6611e+00 +3.6171e+00 +3.4520e+00 +6.6528e-01 +3.8569e+00 -2.6929e+00 -4.9661e+00 -2.6864e+00 -1.5611e+00 +1.5642e+00 -1.0966e+00
47 +3.112845188e+06 +3.112845188e+06 +3.112753098e+06 +3.112753098e+06 -2.6173e-01 +2.9291e+00 +3.7633e+00 +2.9177e+00 +4.4103e+00 +1.1235e+00 -3.7694e+00 -1.0574e+00 -4.6481e-01 +2.2919e+00 +8.1476e-01 -4.8762e-01 -3.3094e+00 -1.6317e+00 -1.7655e+00 +4.4671e+00 -2.1111e+00 +3.3641e+00 +1.1541e+00 -2.3718e+00
143 +6.093709247e+05 +6.093709247e+05 +6.092788347e+05 +6.092788347e+05 +9.4010e-01 -4.0063e+00 +3.7731e+00 +1.1306e+00 +4.3653e+00 +1.9420e+00 -4.0992e+00 -3.8254e+00 -4.5625e+00 -3.1201e+00 +3.0649e+00 -3.8910e+00 -3.4643e+00 +1.7094e+00 +2.5890e+00 +1.8018e+00 -3.3507e+00 +4.3455e+00 +1.3227e+00 -1.7515e+00
% function evaluation | noise-free fitness - Fopt (-8.789000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.467949831e+07 +1.467949831e+07 +1.467941042e+07 +1.467941042e+07 -3.8952e+00 +1.4600e+00 -1.1931e+00 -4.1915e+00 -3.9421e+00 -2.9392e+00 -3.9638e+00 -4.4613e+00 -1.6744e+00 -2.8677e+00 -3.1531e+00 -8.0001e-01 +2.1635e+00 +4.8120e+00 +1.3119e+00 +2.0629e+00 -4.0438e-01 -3.6391e+00 +1.0450e+00 +1.8562e+00
4 +8.724835535e+06 +8.724835535e+06 +8.724747645e+06 +8.724747645e+06 +2.9040e+00 +1.3660e+00 -3.5411e+00 +4.3630e+00 +3.0626e+00 -4.3508e+00 -2.9621e+00 -1.5158e+00 -1.0331e-01 -2.2179e+00 +4.8235e+00 +4.8978e+00 -4.3554e+00 +1.5409e+00 -4.9449e+00 +2.4610e+00 +2.4022e+00 +1.8586e+00 -6.4250e-01 +6.5049e-01
35 +5.222116055e+06 +5.222116055e+06 +5.222028165e+06 +5.222028165e+06 -1.5772e+00 +9.3977e-01 -4.4381e+00 -3.8265e+00 +1.7264e+00 +2.6259e+00 -4.2002e+00 +2.0366e+00 +6.2403e-01 -2.6150e+00 -1.1541e+00 -5.7566e-01 +2.7749e-01 +1.3582e-01 +1.9492e+00 +1.7661e-01 -7.3863e-01 +4.1617e+00 -3.1167e+00 +4.7245e+00
52 +1.775096609e+06 +1.775096609e+06 +1.775008719e+06 +1.775008719e+06 -3.7181e+00 +5.8437e-01 -4.4845e+00 -3.4628e+00 -3.2206e+00 -4.6125e+00 +2.5065e+00 -2.9864e+00 -2.8602e+00 +3.9984e+00 -3.8344e+00 +4.4467e+00 +1.3095e+00 -4.9307e+00 +1.5137e+00 +6.7415e-01 +4.7667e-01 +2.0986e+00 -6.0601e-01 +3.4250e+00
129 +1.325867532e+06 +1.325867532e+06 +1.325779642e+06 +1.325779642e+06 -8.9339e-01 +2.5599e+00 -2.8978e+00 -1.0166e+00 -3.9420e+00 -6.1148e+00 -1.2281e-01 -3.7234e+00 -1.7177e+00 +2.1747e+00 -3.6293e+00 +4.1302e+00 -1.7029e+00 -4.6699e+00 +1.6658e+00 -1.5904e+00 -1.5844e+00 +4.2767e+00 -1.5213e+00 +3.0112e+00
% function evaluation | noise-free fitness - Fopt (3.201900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.958156665e+07 +1.958156665e+07 +1.958188684e+07 +1.958188684e+07 -1.7615e+00 -4.3090e+00 +3.7402e+00 -1.9175e+00 +1.7643e+00 +3.0197e+00 -1.4020e-01 -1.6238e+00 -4.9764e+00 -1.0010e+00 +3.9451e+00 -2.3010e+00 +4.7647e+00 +1.0134e+00 -3.0130e+00 -1.6658e+00 -3.3885e+00 -4.4642e+00 +2.3777e+00 +3.8534e+00
4 +3.509183914e+06 +3.509183914e+06 +3.509504104e+06 +3.509504104e+06 -2.0502e+00 +3.8640e+00 +4.5329e-01 +2.1346e+00 -2.5612e+00 -1.7743e+00 +1.0347e-01 +2.8560e+00 +3.5767e+00 +4.6569e-01 -4.4853e+00 +4.5008e+00 +1.5079e+00 +3.0392e+00 +2.3674e+00 -1.4258e-01 +5.2753e-01 -2.1568e-01 +3.6940e+00 +4.0704e-01
% function evaluation | noise-free fitness - Fopt (-1.042400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.022617447e+07 +1.022617447e+07 +1.022607023e+07 +1.022607023e+07 -2.6536e+00 +3.3981e+00 +3.1804e+00 +4.2482e+00 +6.3223e-01 -5.3006e-01 -4.8594e+00 +8.0238e-02 -4.9000e+00 +1.2040e+00 -1.9414e+00 +1.4869e+00 +1.9588e+00 +4.6228e+00 -1.9421e+00 +1.7321e+00 +6.8792e-01 +2.5845e+00 +8.7519e-01 -3.8282e+00
10 +5.897610035e+06 +5.897610035e+06 +5.897505795e+06 +5.897505795e+06 +3.8709e+00 -4.2915e+00 +8.3795e-01 +3.0905e+00 -1.6507e+00 -4.0372e+00 -4.0053e+00 -3.5336e+00 +2.1492e+00 +2.1873e+00 +4.3097e+00 +4.2215e-02 +2.3597e+00 +1.6978e+00 +4.3076e+00 -2.0813e+00 -7.9683e-01 +1.7204e-01 +2.0523e+00 -3.6772e+00
22 +2.859322663e+06 +2.859322663e+06 +2.859218423e+06 +2.859218423e+06 -4.0015e+00 +2.3834e+00 +8.9535e-01 -5.6854e-02 -2.3970e+00 +2.7381e+00 +1.6319e+00 -3.1855e+00 -9.7705e-01 -1.7709e+00 -3.7634e+00 -3.8114e+00 +4.7678e+00 -2.2720e+00 -4.8371e+00 -2.9493e+00 +3.7937e+00 -3.6858e+00 +1.2856e+00 -4.1563e+00
102 +1.968876420e+06 +1.968876420e+06 +1.968772180e+06 +1.968772180e+06 -3.1964e+00 -3.1986e+00 -1.6156e+00 +1.4345e+00 +1.1884e+00 +5.3177e+00 -4.0936e+00 +2.1323e+00 -3.6735e+00 -3.2107e+00 -2.9223e+00 -2.6820e+00 +4.7277e+00 +4.2011e-01 +4.1950e+00 -4.7859e+00 +5.8992e+00 -2.7422e+00 +1.8751e+00 -4.1427e+00
% function evaluation | noise-free fitness - Fopt (-3.570000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.868726044e+07 +2.868726044e+07 +2.868722474e+07 +2.868722474e+07 +2.0740e+00 -4.4361e+00 +4.4604e+00 -1.5564e+00 +4.7295e+00 +3.3425e+00 -1.3649e+00 -1.2887e+00 +1.0017e+00 -4.1852e+00 -2.9353e+00 -3.5752e+00 -2.3411e+00 +4.4518e+00 -2.7885e+00 +4.0030e+00 +1.4978e+00 -1.9333e+00 +2.3565e+00 -2.2877e+00
4 +8.511489831e+06 +8.511489831e+06 +8.511454131e+06 +8.511454131e+06 +3.9631e+00 -1.9565e+00 +1.2955e+00 -1.6247e+00 -3.4598e+00 -4.7774e+00 -5.6851e-01 +3.4268e+00 -2.3000e+00 +2.0870e+00 +4.9794e+00 -4.1697e+00 +6.4531e-01 -4.0436e+00 -4.4087e+00 +4.6276e+00 -9.4820e-01 -2.5436e+00 -1.0149e+00 +2.3428e+00
27 +5.480725061e+06 +5.480725061e+06 +5.480689361e+06 +5.480689361e+06 -7.8936e-01 +1.6437e+00 -2.3876e+00 +2.2234e+00 -4.4058e+00 -2.4703e+00 -1.5223e+00 -1.6148e+00 -5.2275e-01 -2.0002e+00 -3.6153e+00 -1.3534e+00 -2.0753e-01 -2.8163e+00 -1.5779e+00 -2.2977e+00 -3.7412e+00 -3.5299e-02 -3.9252e+00 +1.2545e-01
33 +2.126347436e+06 +2.126347436e+06 +2.126311736e+06 +2.126311736e+06 -4.6479e+00 +1.6325e+00 +3.3560e+00 +9.3708e-01 +2.9704e+00 -3.9704e+00 +2.3424e+00 -1.4802e+00 +4.7825e+00 +3.6813e+00 +3.4493e+00 +1.0388e+00 -2.3315e+00 +3.7814e-01 -1.4983e+00 +2.7011e+00 +4.1050e+00 -2.1692e+00 -2.8675e+00 +1.2562e+00
113 +1.277364255e+06 +1.277364255e+06 +1.277328555e+06 +1.277328555e+06 -6.7191e+00 -6.1974e-01 -5.9549e-02 -2.5940e-01 -1.9199e-01 -3.9476e+00 +3.1073e+00 +2.3694e+00 -2.2151e+00 -1.6196e+00 +3.6320e+00 -3.4929e-01 -2.2811e+00 -3.4837e+00 -2.3489e-01 +1.2015e+00 +2.3732e-01 -9.5598e-01 -2.6267e+00 +6.4802e-01
% function evaluation | noise-free fitness - Fopt (2.070000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.634046860e+07 +5.634046860e+07 +5.634048930e+07 +5.634048930e+07 -4.2051e+00 +3.8831e+00 -1.9497e+00 -1.8989e+00 +1.1330e+00 +3.5906e+00 -1.6822e+00 +7.2292e-01 +4.2147e+00 +3.4722e+00 +8.9033e-02 +2.8771e+00 -4.2343e+00 +4.5147e+00 -2.1838e-01 +3.3862e+00 +3.7216e+00 +1.5444e+00 -4.9343e+00 -3.8462e+00
2 +5.073512871e+06 +5.073512871e+06 +5.073533571e+06 +5.073533571e+06 -3.3643e+00 -1.3168e-01 -4.7231e+00 +4.1588e+00 -8.0294e-01 -3.0156e+00 +3.4004e+00 +3.3371e+00 +1.6452e+00 +3.0423e+00 +2.0245e+00 +4.7143e+00 +2.9372e+00 +9.0747e-01 -4.2609e+00 +9.9164e-01 +1.0804e+00 -1.4709e-01 -1.5987e+00 +3.6168e+00
9 +6.781242154e+05 +6.781242154e+05 +6.781449154e+05 +6.781449154e+05 +2.3121e+00 +8.1475e-03 -3.2160e+00 -2.6728e+00 +3.8417e-01 +9.2802e-01 -4.4754e+00 +4.6844e+00 +4.4482e+00 -2.6265e+00 -3.9633e+00 -1.1309e+00 +2.3304e+00 +7.4329e-01 +7.8426e-01 -1.3783e+00 +1.3523e+00 +2.4346e+00 +5.7368e-01 +2.8448e+00
% function evaluation | noise-free fitness - Fopt (3.807000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.418977123e+07 +2.418977123e+07 +2.418980930e+07 +2.418980930e+07 -4.4906e+00 +8.0788e-02 -4.4669e+00 +4.4260e+00 -6.5539e-01 -3.7302e+00 +8.5918e-01 +1.2859e+00 -1.9166e+00 -2.6080e+00 +1.5168e+00 +3.8076e+00 +6.2335e-01 -3.3595e+00 +4.8957e+00 +2.5578e+00 +2.9941e+00 -3.1129e+00 -1.3646e+00 -2.3393e+00
4 +1.218425262e+07 +1.218425262e+07 +1.218429069e+07 +1.218429069e+07 -3.0770e+00 -4.0330e-01 +1.8432e+00 -4.9033e-01 +4.3777e+00 +4.7948e+00 -1.9129e+00 -3.5399e+00 +3.3582e+00 +1.0155e+00 +1.5310e+00 +2.0757e+00 -4.1137e+00 +1.4874e+00 +3.8832e+00 +3.9029e+00 -1.1210e+00 -3.4132e-01 -4.1917e-01 -8.3434e-01
6 +6.845529892e+06 +6.845529892e+06 +6.845567962e+06 +6.845567962e+06 +1.8643e+00 -4.7005e+00 -2.7180e+00 -3.4728e+00 -2.5363e+00 +3.4738e+00 +3.1659e+00 -2.8727e+00 -2.7815e+00 +3.9502e-01 +4.9879e+00 +9.9987e-01 -3.2266e+00 -3.9221e+00 +2.5620e+00 -3.2836e+00 -7.8762e-01 +7.6173e-01 +2.6437e-01 +2.2356e+00
9 +5.907509463e+06 +5.907509463e+06 +5.907547533e+06 +5.907547533e+06 +4.4950e-01 +3.5607e+00 +4.6633e+00 +4.6568e+00 -7.4263e-01 -2.4618e+00 -3.4663e+00 -1.5910e+00 +2.6646e+00 +3.4071e+00 +1.5769e+00 -3.1177e+00 +4.1770e-01 -3.8431e+00 +1.9964e+00 +4.6430e-01 +3.4356e+00 -2.3274e+00 -1.3085e-01 +3.6716e+00
