% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.047733964e+06 +2.047733964e+06 +2.047769864e+06 +2.047769864e+06 -2.2395e+00 +1.9521e-01 +2.3848e+00 -1.7419e+00 +4.9711e+00 +3.5650e+00 +1.2365e+00 +2.7487e+00 -2.8542e+00 +2.6774e+00 -3.7344e+00 -4.7394e+00 +4.6310e+00 +4.0765e+00 +8.3029e-01 +4.8984e+00 +4.6173e+00 -1.6747e+00 -3.7226e+00 -2.7414e+00
4 +1.352852016e+06 +1.352852016e+06 +1.352887916e+06 +1.352887916e+06 -2.3592e+00 -4.5442e+00 +2.1311e-01 +2.6538e+00 -4.3517e+00 +2.6835e+00 -3.3643e+00 -4.3147e+00 -3.9800e+00 -7.5871e-01 -3.2223e+00 -1.6600e+00 -9.3482e-01 +4.8485e+00 +4.7160e+00 +4.6852e+00 +3.5740e+00 +4.4794e+00 -2.5172e-01 -2.5453e-02
5 +7.689609863e+05 +7.689609863e+05 +7.689968863e+05 +7.689968863e+05 +1.2016e+00 +1.3564e+00 +3.2314e+00 +4.4321e+00 +6.7243e-01 -4.5533e+00 -3.6095e-01 -5.8233e-01 +2.8630e+00 -3.5266e+00 +1.7192e+00 -2.6452e-01 -4.6364e+00 -1.3198e+00 +4.9744e+00 -6.5420e-01 +1.3663e+00 +1.2133e-01 +1.8196e+00 -4.0210e+00
20 +5.595463774e+05 +5.595463774e+05 +5.595822774e+05 +5.595822774e+05 +6.1277e-01 +3.6394e+00 +2.5703e+00 -3.6949e-01 -4.6413e+00 -1.1886e+00 -2.3052e-01 -2.9592e+00 -2.6982e+00 +1.3141e+00 -1.0898e+00 -3.1395e+00 -8.8402e-01 -5.1947e-02 +1.8399e+00 +3.2493e+00 +3.4069e+00 +4.4870e+00 -3.3402e+00 +4.1900e+00
109 +3.184018355e+05 +3.184018355e+05 +3.184377355e+05 +3.184377355e+05 -4.2811e+00 +3.7929e+00 +4.3984e+00 -5.2011e-01 -3.3356e+00 +3.6320e+00 +4.2258e+00 -7.9259e+00 -1.2152e-01 -5.2464e+00 +2.2156e+00 -4.0567e+00 -6.3508e+00 -4.6451e+00 +6.4039e-01 -1.4297e+00 -3.4593e+00 +7.1940e+00 -4.7043e+00 +2.5023e+00
% function evaluation | noise-free fitness - Fopt (3.137000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.098423056e+06 +1.098423056e+06 +1.098454426e+06 +1.098454426e+06 +4.3509e+00 -2.9556e+00 -3.3628e+00 -6.0746e-01 +4.8077e+00 +6.7143e-01 -4.0008e+00 -5.4586e-01 +2.7841e-01 +2.0123e+00 -4.6454e+00 -4.6470e+00 -4.6979e+00 +1.5619e+00 -6.3238e-01 +5.3581e-01 -2.5702e+00 -1.5847e+00 +2.1357e-01 +1.7208e+00
2 +5.529151489e+05 +5.529151489e+05 +5.529465189e+05 +5.529465189e+05 -2.2385e+00 +1.0042e+00 -2.2740e+00 +1.1473e+00 -4.7965e+00 -3.1239e+00 -3.6327e+00 -4.6729e+00 +1.7275e+00 -3.2238e+00 -1.7230e+00 +4.7707e+00 +2.3320e+00 +1.9818e+00 +7.8642e-01 -2.9433e+00 -3.0353e+00 -3.9939e+00 -3.2097e+00 -4.7826e+00
28 +3.372176796e+05 +3.372176796e+05 +3.372490496e+05 +3.372490496e+05 +1.9540e+00 -3.0953e+00 -3.8235e+00 +3.2834e+00 +6.1947e-01 -1.0758e+00 -2.6671e+00 +3.8697e+00 -4.4700e+00 -7.9328e-01 -3.0881e+00 +8.8786e-02 +2.2560e+00 +3.0384e+00 -2.8021e+00 -2.8500e+00 +6.1086e-01 +7.5723e-01 -3.1582e+00 +4.9422e+00
39 +2.241554122e+05 +2.241554122e+05 +2.241867822e+05 +2.241867822e+05 +3.8064e+00 -2.2838e+00 -3.2299e+00 +3.5784e+00 +6.1054e-01 -4.0292e+00 -4.2083e+00 +2.6440e+00 -2.3860e+00 +2.7514e+00 -1.5614e+00 +1.0337e+00 -1.2742e+00 -1.2288e+00 +2.5739e+00 -1.6325e+00 -2.1578e+00 -1.8799e+00 +1.0520e-01 +2.7586e+00
124 +1.255427415e+05 +1.255427415e+05 +1.255741115e+05 +1.255741115e+05 +6.1804e+00 +4.3607e+00 -1.5819e+00 +4.7233e+00 -1.7919e+00 -6.3671e+00 -1.8707e+00 +3.5861e+00 -8.7348e-03 +5.1219e-01 -3.7260e+00 +2.4523e+00 +4.6719e+00 +4.1475e+00 +5.0913e+00 +9.6306e-01 -2.7446e+00 -5.4903e+00 +9.1770e-01 +3.8919e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.863795478e+05 +6.863795478e+05 +6.853795478e+05 +6.853795478e+05 +2.6621e+00 +2.0883e+00 +1.9743e+00 +3.2680e+00 -1.8993e+00 +4.5380e+00 +1.7679e+00 -2.2963e+00 -1.8033e+00 +4.5857e-01 +2.3178e+00 -3.5899e+00 -3.8817e+00 +3.1153e+00 +4.4521e+00 +3.6079e+00 -1.1002e+00 +2.6477e+00 +3.9349e+00 +1.4017e+00
2 +5.438397702e+05 +5.438397702e+05 +5.428397702e+05 +5.428397702e+05 -1.4596e+00 -3.1138e+00 +4.6487e+00 +3.8946e+00 -4.4489e+00 -2.1643e+00 -1.3349e+00 -1.0574e-01 +1.0617e+00 +9.7934e-01 -1.2937e+00 -3.8925e-01 -1.1156e+00 +3.6902e+00 +1.3565e+00 -1.2571e+00 -1.7626e+00 +1.1233e+00 -3.5746e+00 -8.9606e-01
84 +3.466677273e+05 +3.466677273e+05 +3.456677273e+05 +3.456677273e+05 -1.4679e+00 -5.2280e-01 +7.7729e-02 -3.1533e-01 +3.3326e+00 -1.9126e+00 +3.5604e+00 -2.7097e+00 +2.7577e+00 +1.3422e+00 -4.6339e+00 +1.1323e+00 -1.4410e+00 -3.7474e+00 -3.1381e-01 -4.5311e+00 -3.0222e+00 +3.0298e+00 -4.5074e+00 +3.5250e+00
% function evaluation | noise-free fitness - Fopt (1.319200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
