% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.325319207e+05 +5.325319207e+05 +5.326810707e+05 +5.326810707e+05 +3.4544e+00 +3.5845e-01 +2.6433e+00 +4.5813e+00 +2.5119e+00 +2.3402e+00 -4.3506e+00 -2.4663e+00 +9.5932e-01 -1.8478e+00 +4.0708e+00 -4.3072e-01 +1.9794e+00 +1.0262e+00 -2.2845e+00 -8.7617e-02 -4.2954e-01 +4.9287e+00 -3.5959e+00 -1.4312e+00
10 +3.107466884e+05 +3.107466884e+05 +3.108958384e+05 +3.108958384e+05 -3.6000e+00 +2.8281e+00 +4.6273e+00 -3.4263e+00 +1.0535e-01 +7.2252e-01 +1.3014e+00 -4.4298e+00 -2.6814e+00 +1.8348e+00 -2.3320e+00 +1.7481e+00 -3.2044e+00 -2.1877e+00 -3.3679e+00 -3.6196e-01 -4.9367e+00 +2.9867e+00 -1.6167e+00 +4.7450e+00
20 +1.405306150e+05 +1.405306150e+05 +1.406797650e+05 +1.406797650e+05 -4.6842e+00 +3.6367e+00 -1.5404e+00 -4.3086e-01 -2.9387e+00 -3.3992e+00 -4.3884e+00 -1.3659e-01 -1.1172e+00 +4.1333e+00 +4.3871e-01 +7.2742e-01 +3.0536e+00 +9.4078e-01 -4.8771e-01 -4.7237e+00 +1.8096e+00 -1.3998e+00 +1.0501e-01 +1.6548e+00
22 +8.730556721e+04 +8.730556721e+04 +8.745471721e+04 +8.745471721e+04 +1.1730e+00 +5.2094e-01 -2.3253e+00 +1.0366e+00 -2.2154e+00 +1.3480e+00 +1.6450e+00 -4.0412e+00 -5.2797e-01 +1.5579e-01 +1.0609e+00 -3.3677e-02 +7.2766e-01 -2.7336e+00 -1.0041e+00 +2.0704e+00 +3.2871e+00 +1.7535e+00 -3.4698e+00 -1.2189e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.861414906e+05 +9.861414906e+05 +9.851414906e+05 +9.851414906e+05 +2.3845e+00 +2.2359e+00 -3.1549e+00 -3.4628e+00 +9.6364e-01 +1.5506e+00 +4.2692e+00 -1.3412e+00 +1.7469e+00 -4.2461e+00 -3.1970e+00 -7.2004e-01 +4.1668e+00 -6.8861e-01 +2.9614e+00 +4.9217e+00 -1.2644e+00 +1.5936e+00 -4.1743e+00 -9.4137e-01
3 +4.989539783e+05 +4.989539783e+05 +4.979539783e+05 +4.979539783e+05 -2.2355e+00 +8.0875e-01 -3.7670e+00 -4.2072e+00 -1.9319e+00 -1.3543e-01 -3.5224e+00 +4.1567e-01 +4.2338e+00 -1.3239e+00 +3.4856e+00 -1.3973e+00 +4.8165e+00 -4.8636e+00 -4.4273e+00 -1.7757e+00 -4.7176e+00 -9.2605e-02 +3.0713e+00 +2.8994e+00
13 +3.448378932e+05 +3.448378932e+05 +3.438378932e+05 +3.438378932e+05 -1.8317e+00 +1.7813e+00 +7.0771e-01 -3.0697e+00 -3.3695e+00 -4.3466e+00 +1.9577e+00 +3.9203e-01 -3.9099e+00 -2.9574e+00 +3.1949e+00 +4.0792e+00 +5.7702e-01 -1.1690e+00 -1.1173e+00 +1.9723e+00 +2.8011e+00 -2.6117e+00 -3.4245e+00 +1.2571e+00
24 +2.177933103e+05 +2.177933103e+05 +2.167933103e+05 +2.167933103e+05 -5.6728e-01 +3.3255e+00 +6.1102e-01 -4.8744e+00 +8.8364e-01 +3.9221e+00 -3.8719e+00 -5.7158e-02 -2.2350e+00 -2.8366e+00 -3.4372e+00 -8.8669e-01 +1.8366e-01 -6.1023e-01 +3.7099e+00 -3.0718e+00 -5.4114e-01 +3.3981e-01 -4.4334e+00 +9.6797e-01
74 +1.310617769e+05 +1.310617769e+05 +1.300617769e+05 +1.300617769e+05 -4.9142e+00 -9.9883e-01 +2.4477e+00 +2.9050e+00 -1.8546e+00 -4.0633e+00 -4.3988e+00 -4.3351e+00 +2.3951e+00 +2.4033e+00 -2.9654e+00 +4.2404e-01 -2.2009e+00 -1.6844e-01 +2.1592e-01 -7.9519e-01 +9.0015e-01 -3.5969e+00 -2.4212e+00 +4.2131e+00
% function evaluation | noise-free fitness - Fopt (9.862000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.854170787e+05 +5.854170787e+05 +5.855156987e+05 +5.855156987e+05 -3.5230e+00 +3.7415e+00 -3.6529e+00 +7.7865e-01 -4.6337e+00 +2.4500e+00 -4.0342e+00 -3.6137e+00 -3.1881e+00 +1.8102e+00 +4.7828e+00 -3.2461e+00 +3.3387e+00 +3.4837e-01 -2.5408e+00 +2.2742e+00 +8.2711e-01 +3.4131e+00 -4.9852e+00 +3.4266e+00
20 +3.922305411e+05 +3.922305411e+05 +3.923291611e+05 +3.923291611e+05 +1.1729e+00 -3.3578e+00 +4.1534e+00 +1.9608e+00 -1.4734e-01 -4.8683e+00 -1.9691e+00 -1.3387e+00 +7.9607e-01 -4.6406e+00 -2.1647e+00 -4.2681e+00 -2.0773e+00 -1.0823e-01 -8.2640e-01 +1.8788e+00 -2.7011e+00 -4.7656e-01 +1.9238e+00 +1.5125e+00
29 +2.437641933e+05 +2.437641933e+05 +2.438628133e+05 +2.438628133e+05 +1.1660e+00 -4.3276e-01 +1.0866e+00 -2.8912e+00 +1.1872e+00 -4.0301e+00 -4.5520e+00 -4.3797e+00 +5.3171e-01 -4.1246e+00 +3.2081e-01 -1.9674e-01 -2.2285e+00 -2.0118e+00 +6.3493e-01 -1.5412e+00 -4.5485e+00 +4.2475e+00 +7.6593e-01 -3.2893e+00
% function evaluation | noise-free fitness - Fopt (-4.715000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.839077766e+05 +9.839077766e+05 +9.838606266e+05 +9.838606266e+05 +2.0007e-02 +2.7376e+00 +4.2598e+00 -4.0947e+00 -2.7497e+00 -2.9342e+00 +1.2405e+00 -2.7016e+00 -6.7494e-01 +3.3934e+00 +2.5986e+00 -2.5297e+00 -4.7496e+00 +4.2212e+00 +1.6327e+00 +3.6684e-01 +4.1445e+00 +8.5434e-01 -1.4279e+00 +3.1984e+00
9 +5.643573561e+05 +5.643573561e+05 +5.643102061e+05 +5.643102061e+05 +4.1284e+00 -2.0184e+00 +4.9346e+00 -2.1196e+00 -1.6743e+00 +2.0694e+00 -3.1381e+00 +5.5289e-01 +1.0782e+00 -3.2232e+00 +2.5349e+00 -2.4346e+00 -1.5963e-02 +2.0221e+00 +3.1170e+00 +3.3000e+00 +1.4352e+00 +8.5566e-01 -2.6911e+00 -2.5373e+00
11 +2.884158247e+05 +2.884158247e+05 +2.883686747e+05 +2.883686747e+05 -3.8497e+00 -2.9391e+00 -1.6379e+00 +6.6127e-01 +5.0167e-01 -1.0110e+00 +1.0786e-01 -3.4688e-01 -1.2216e+00 -2.1867e+00 +2.1164e+00 -2.1774e+00 -6.0443e-01 +3.4390e+00 -2.1355e-01 -2.5439e+00 +2.3937e+00 -7.6907e-01 +7.6236e-01 +3.7321e+00
41 +1.813521932e+05 +1.813521932e+05 +1.813050432e+05 +1.813050432e+05 -3.0705e+00 +1.2528e+00 +6.1164e-01 -3.2299e+00 +2.0637e+00 -3.1559e+00 -4.6728e+00 -2.2324e-01 -2.7297e+00 +2.5815e+00 +2.3583e+00 -2.7750e+00 -7.4950e-01 -4.5822e+00 +1.5167e+00 +1.8111e+00 +7.8579e-01 -4.9326e+00 +1.2389e+00 -2.3182e+00
% function evaluation | noise-free fitness - Fopt (3.752000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.443054720e+05 +4.443054720e+05 +4.443429920e+05 +4.443429920e+05 +2.2904e+00 -4.2280e+00 +4.1745e-01 +1.5649e+00 -3.3810e+00 -2.3246e+00 -1.5885e+00 -7.8556e-01 +4.9882e+00 -1.6512e+00 -1.7987e+00 +4.8624e+00 +3.6891e-01 +2.9287e+00 +4.2911e+00 -1.8327e+00 +8.9169e-01 +1.2324e+00 -2.9534e+00 +1.4319e+00
3 +3.878398660e+05 +3.878398660e+05 +3.878773860e+05 +3.878773860e+05 +4.4444e+00 -5.6066e-01 +1.3096e+00 +1.8131e+00 +2.4153e+00 -1.9379e+00 -3.2451e+00 -4.8669e+00 +4.6110e+00 +2.5998e+00 +3.5654e+00 +1.8868e-01 +1.8035e+00 -4.6113e-01 -4.3874e+00 -1.1021e-01 -1.9514e+00 -3.5259e+00 +2.2347e+00 -1.1105e+00
18 +2.036992241e+05 +2.036992241e+05 +2.037367441e+05 +2.037367441e+05 +3.0003e+00 -3.1854e+00 -1.7770e-01 +2.9062e-01 +4.7372e+00 -3.1656e+00 -2.3498e+00 -9.4387e-02 -2.8655e+00 +2.2252e+00 +3.4397e+00 +6.1510e-01 +4.9754e+00 +2.7869e-01 +2.2080e-01 +2.3314e+00 -1.3738e+00 +5.5371e-01 +6.0064e-01 +3.4502e+00
% function evaluation | noise-free fitness - Fopt (-4.257500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.970335711e+05 +3.970335711e+05 +3.966078211e+05 +3.966078211e+05 -2.4323e+00 -1.1528e-02 -3.5811e+00 +2.0208e+00 -4.2585e+00 -4.6620e-01 -2.1972e+00 +2.4191e-01 -3.5244e+00 +9.0278e-01 +1.8963e-01 -1.7658e+00 -3.3343e+00 +4.4775e+00 +4.4810e+00 +2.8487e+00 +9.8176e-01 -1.4098e+00 +3.6174e+00 -1.5671e+00
9 +1.091498026e+05 +1.091498026e+05 +1.087240526e+05 +1.087240526e+05 -3.8652e+00 +4.1049e+00 -2.1841e+00 -5.3667e-01 -2.5436e+00 +2.9039e-02 +1.0044e+00 +2.8730e-01 -1.3323e+00 -2.0073e+00 +3.3501e+00 -2.0434e+00 +3.3634e+00 -7.8967e-02 +4.5683e-01 -1.3836e+00 -2.3989e-01 -3.1741e+00 -3.7816e+00 +4.3749e+00
% function evaluation | noise-free fitness - Fopt (-2.209000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.325284066e+05 +5.325284066e+05 +5.323075066e+05 +5.323075066e+05 -3.7435e+00 +4.5309e+00 +4.9649e+00 +2.1780e-01 +3.3176e+00 -2.6696e+00 -3.4988e+00 +5.3288e-01 +4.1647e+00 +2.1298e-01 +8.1831e-01 -3.2533e+00 +9.6992e-01 -1.1046e+00 +4.2408e+00 +3.3521e+00 +2.1032e+00 +7.3089e-01 +9.9812e-01 -4.0262e+00
3 +7.263092879e+04 +7.263092879e+04 +7.241002879e+04 +7.241002879e+04 +2.6199e+00 -2.3583e+00 -2.0860e+00 -9.4029e-01 +1.4468e+00 +3.4758e+00 +3.0167e-01 +1.4687e+00 -8.2335e-01 +4.0160e-01 +1.2260e+00 -4.9744e+00 -2.3988e+00 +3.8127e+00 +2.7476e+00 -7.9906e-01 +1.5266e+00 +6.0227e-01 -2.1187e+00 -4.1403e+00
141 +4.971792077e+04 +4.971792077e+04 +4.949702077e+04 +4.949702077e+04 -6.5471e-01 +1.5137e+00 -1.6728e+00 -1.9501e+00 +2.7518e+00 -4.7203e-01 -1.5136e+00 +3.5158e+00 +4.4974e+00 -2.0288e+00 +1.5569e+00 -1.8064e+00 +8.8751e-01 +2.2922e+00 +1.9557e+00 -3.5305e-01 -1.8684e+00 -1.6395e+00 +1.6435e+00 +1.1148e+00
