% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.317616870e+01 +1.317616870e+01 +2.004616870e+01 +2.004616870e+01 -3.4641e+00 +5.8067e-01 +1.9530e+00 +4.2457e+00 +4.6931e+00 -4.9469e+00 -2.7506e+00 +1.9232e+00 -2.2791e+00 +1.4120e+00 +1.3622e-01 +1.9083e+00 -3.4444e+00 +1.9061e+00 -4.1527e+00 -3.1337e+00 +1.4302e+00 -2.8002e+00 +4.5200e+00 +3.8676e+00
4 +6.617098063e+00 +6.617098063e+00 +1.348709806e+01 +1.348709806e+01 +5.0925e-01 +1.1677e+00 +3.1851e+00 +3.2561e-01 +2.1627e+00 +9.8037e-01 -4.8835e+00 -2.7401e+00 +4.8541e+00 -2.1142e+00 +2.2728e+00 -3.4935e-01 -2.4561e-01 -4.4374e+00 +3.5695e+00 +1.1684e+00 +4.3886e+00 +4.2398e-01 +6.3754e-01 -2.1402e+00
13 +6.119330599e+00 +6.119330599e+00 +1.298933060e+01 +1.298933060e+01 -4.6945e+00 -7.5860e-01 -4.1449e+00 -4.1851e+00 -2.9476e+00 +1.5858e-02 -7.3287e-01 +8.9880e-01 +8.0920e-01 -1.9265e+00 +3.6655e+00 -3.3271e+00 +1.3277e+00 -6.2285e-01 -1.4147e+00 +3.2254e+00 -3.0052e+00 +4.4920e+00 -4.4296e+00 -5.0771e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.808786827e+01 +1.808786827e+01 +1.809786827e+01 +1.809786827e+01 +3.1799e+00 +7.2571e-01 -1.2216e+00 +2.1703e-01 -4.0839e+00 -2.6426e+00 +3.6526e+00 -3.8881e+00 -5.2737e-01 +2.4284e+00 +1.6350e+00 +3.2840e+00 -4.9324e+00 +4.4863e+00 +1.0174e+00 -1.9400e+00 -1.3739e+00 +1.6315e+00 -1.9668e+00 +2.9004e+00
5 +5.936396710e+00 +5.936396710e+00 +5.946396710e+00 +5.946396710e+00 +1.5389e+00 -1.1208e+00 +8.7473e-01 +5.3505e-01 -9.9407e-01 +3.5969e+00 +1.1381e+00 +2.6875e+00 -4.8324e+00 +2.2448e+00 -9.0739e-01 -4.8599e-01 -2.5863e+00 +4.8069e-04 -8.8094e-01 -3.6688e+00 -7.1141e-01 -4.4551e-01 +3.9204e+00 -3.5323e+00
% function evaluation | noise-free fitness - Fopt (-1.306100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.049748920e+00 +8.049748920e+00 -1.225602511e+02 -1.225602511e+02 +2.6150e+00 -4.2744e+00 -1.9805e+00 -4.9732e+00 -1.0697e+00 +5.4980e-01 +2.6752e-01 +2.5327e-01 +4.2089e+00 +4.0499e+00 -2.7739e+00 +4.6364e+00 -8.3694e-01 +1.1907e+00 +3.2144e+00 +4.6351e+00 +4.1920e+00 +1.7908e+00 +7.9383e-01 -2.7008e+00
4 +5.839965858e+00 +5.839965858e+00 -1.247700341e+02 -1.247700341e+02 -4.4775e+00 -3.1653e+00 +4.7759e+00 -2.8944e+00 -2.8428e+00 +8.1425e-01 -3.6397e+00 -3.7126e-01 +4.9351e+00 +1.6349e+00 -3.4835e-01 +4.4336e+00 -4.8326e-01 +3.7246e+00 -4.3761e+00 +1.7307e-02 +3.6895e+00 +3.3222e+00 -4.2709e+00 -8.5235e-01
% function evaluation | noise-free fitness - Fopt (-2.231200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.962553863e+01 +1.962553863e+01 -2.034944614e+02 -2.034944614e+02 +2.0347e+00 -3.8978e+00 +3.6282e+00 +1.1835e+00 +4.6493e+00 -2.1520e+00 +4.3109e+00 +1.9977e+00 -4.2541e+00 -3.5741e+00 +2.3765e+00 +2.8698e+00 +2.2374e+00 +3.6985e+00 +1.0365e-01 -2.5331e+00 +4.4183e+00 -1.7955e+00 +1.5236e+00 +3.9456e+00
2 +1.482224666e+01 +1.482224666e+01 -2.082977533e+02 -2.082977533e+02 +1.9192e+00 -1.7482e+00 +1.4558e+00 +5.1352e-01 +4.9070e+00 +8.9585e-01 -4.2719e+00 -1.8376e+00 +4.3756e+00 +2.7265e+00 +1.8159e+00 +5.4410e-01 -2.0290e+00 -1.7286e+00 -3.8973e+00 +1.8022e+00 -1.3897e+00 -1.0423e+00 +1.3152e+00 -1.5447e+00
13 +8.799838456e+00 +8.799838456e+00 -2.143201615e+02 -2.143201615e+02 -4.4882e+00 +2.3285e+00 +4.3833e+00 -5.4779e-01 +3.1542e+00 +3.1772e+00 +3.6796e+00 +1.1479e+00 +3.7099e+00 -2.7625e+00 +4.5647e-02 +3.6768e+00 -2.9960e-01 +2.0235e+00 -4.2532e+00 -4.5075e+00 +1.0437e+00 -4.5604e+00 +3.6527e+00 +3.4564e-01
20 +5.957789241e+00 +5.957789241e+00 -2.171622108e+02 -2.171622108e+02 -1.1156e+00 -1.5424e+00 -3.0170e+00 -3.6912e+00 -4.9850e+00 +2.0041e-01 +4.3132e+00 +2.6011e+00 +1.0225e+00 -3.7308e+00 -2.7923e+00 +3.3436e+00 -2.9362e-01 -2.5768e+00 -4.5246e+00 -1.4406e+00 +2.6071e+00 -4.4230e-01 +3.2646e-01 -2.3164e+00
% function evaluation | noise-free fitness - Fopt (-4.443000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.677290573e+01 +1.677290573e+01 -2.765709427e+01 -2.765709427e+01 +2.0966e+00 -2.9277e+00 +4.0947e+00 -2.9099e+00 -3.9553e+00 +4.1216e-01 +1.1846e+00 +4.5232e+00 +4.4912e+00 +8.2465e-01 +2.4746e+00 -3.8851e+00 +1.5638e+00 +2.2451e+00 -2.6765e+00 +4.0629e-01 +4.2717e+00 -2.2187e+00 -1.2920e+00 +1.8846e+00
3 +1.418227914e+01 +1.418227914e+01 -3.024772086e+01 -3.024772086e+01 +4.1306e-01 -1.6120e+00 +4.0026e+00 +2.7868e-01 +4.8903e+00 +5.9181e-01 -9.6713e-01 -2.1805e+00 -2.5861e+00 +1.0921e+00 -4.4797e-01 -3.4583e+00 -1.6651e+00 -1.3091e+00 +1.8246e+00 -2.7910e+00 +2.1501e+00 -2.6815e+00 +3.0787e+00 -1.6078e+00
11 +9.362839358e+00 +9.362839358e+00 -3.506716064e+01 -3.506716064e+01 -6.3011e-01 -4.8326e+00 +8.4033e-01 -4.8171e-01 +1.7918e+00 +9.1182e-01 -4.2321e+00 -2.6423e+00 -2.6813e+00 -1.9506e+00 -1.6797e+00 +1.4229e+00 +1.1383e+00 +5.8621e-02 -2.4955e+00 -1.1369e+00 -5.5289e-02 -4.5768e+00 +1.6242e+00 -1.0183e+00
50 +6.220821719e+00 +6.220821719e+00 -3.820917828e+01 -3.820917828e+01 -2.6521e+00 -3.9280e+00 +3.9438e-01 +3.2272e+00 +2.2642e+00 +1.3288e+00 -1.4160e+00 -4.7838e+00 -4.1639e+00 -7.2412e-01 -1.9890e+00 -3.4741e-01 +2.3140e+00 +1.0191e+00 -4.5115e+00 +3.0130e+00 -1.4176e+00 +3.5678e+00 +4.4410e+00 +2.0245e+00
% function evaluation | noise-free fitness - Fopt (8.539000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.588284462e+01 +2.588284462e+01 +1.112728446e+02 +1.112728446e+02 +3.6272e+00 -4.4434e+00 +3.2078e+00 -3.9690e-01 +4.5980e+00 +1.4665e+00 +3.7425e+00 +2.4035e+00 -6.9530e-01 -4.6201e+00 +1.2562e+00 +6.6174e-01 -2.2108e+00 -1.5210e+00 -1.3059e+00 -7.7132e-01 -3.1917e+00 +3.7234e+00 -1.0418e+00 -3.1716e+00
2 +1.345168369e+01 +1.345168369e+01 +9.884168369e+01 +9.884168369e+01 +2.2344e+00 -3.0383e+00 -1.2957e+00 +2.4095e+00 +5.8608e-01 -4.7227e+00 +4.7616e+00 +3.4977e+00 -3.1964e+00 -3.6049e+00 +1.2459e+00 -2.6368e-01 -3.5158e+00 +3.2014e+00 +3.9122e-01 +4.3933e+00 +2.8459e+00 -1.8199e+00 -2.6729e+00 +7.5346e-01
6 +9.573221345e+00 +9.573221345e+00 +9.496322135e+01 +9.496322135e+01 -3.2618e+00 +4.2890e-02 -3.4725e+00 +3.5147e+00 +4.6431e+00 -1.6416e-01 -4.4723e+00 -4.6484e+00 +4.7303e+00 +1.5478e+00 +4.0835e+00 -4.1994e+00 -1.0048e+00 -3.3326e+00 -2.6814e+00 +2.5727e+00 +4.0252e+00 -1.7686e+00 +4.5394e+00 +4.5474e+00
99 +5.668471571e+00 +5.668471571e+00 +9.105847157e+01 +9.105847157e+01 +2.3157e+00 -5.9839e-01 +4.6030e+00 -2.7000e+00 -5.9935e-01 -3.6229e+00 -2.7846e+00 +1.0865e+00 -4.9344e+00 +3.0784e+00 -1.3752e+00 +1.6506e-01 +4.3395e+00 +4.5751e+00 -1.9482e-01 +3.0718e+00 +2.2196e-01 -1.2835e+00 -3.2993e+00 +3.5936e+00
% function evaluation | noise-free fitness - Fopt (-9.872900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.156582212e+01 +1.156582212e+01 -9.757241779e+02 -9.757241779e+02 -4.5643e+00 -3.4895e+00 -2.2861e+00 -4.7532e+00 +3.2170e+00 -3.3376e+00 +3.0862e+00 -4.2248e+00 -4.7376e+00 +2.4649e-01 -4.4909e+00 +1.8835e+00 +4.4896e+00 +2.3687e+00 +2.6352e+00 +3.6556e-01 -3.1778e+00 -1.8271e+00 -3.2667e+00 -2.5052e+00
7 +5.397834893e+00 +5.397834893e+00 -9.818921651e+02 -9.818921651e+02 -2.8559e+00 -6.9117e-01 -5.1817e-01 +4.5048e+00 +4.2913e+00 +4.9419e+00 -4.7951e-01 +1.8830e+00 -4.1413e-01 -1.5631e+00 -7.0754e-01 -2.1962e+00 +4.2033e+00 +4.9335e+00 +1.1554e+00 +1.5573e+00 +7.6768e-01 +1.5632e+00 +3.0749e+00 +4.3125e+00
% function evaluation | noise-free fitness - Fopt (-1.517600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.478467307e+00 +8.478467307e+00 -1.432815327e+02 -1.432815327e+02 +1.6121e+00 +4.2408e+00 -4.5857e+00 -4.5681e-01 +2.0601e+00 +8.1585e-01 -3.9308e+00 +4.0239e+00 -2.2001e-01 +3.4805e+00 +1.7352e-01 -2.1047e+00 -1.6235e-01 -1.0818e+00 +2.3858e-01 -1.7923e+00 +3.8648e+00 +4.3359e+00 +1.7661e+00 +9.4052e-01
46 +5.748599570e+00 +5.748599570e+00 -1.460114004e+02 -1.460114004e+02 +3.9097e+00 +2.3261e+00 -3.9268e+00 -3.3146e-01 -3.4552e+00 -1.6977e+00 +4.3800e+00 +3.4922e+00 +2.0655e+00 -2.8386e+00 -1.2155e+00 +2.5502e+00 +2.6635e+00 -3.7483e-03 +2.3737e+00 -3.6368e+00 -2.3261e+00 -2.6109e+00 -2.5296e+00 +3.4231e+00
% function evaluation | noise-free fitness - Fopt (6.680000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.926225696e+00 +5.926225696e+00 +7.272622570e+01 +7.272622570e+01 +9.1303e-01 -1.6533e-01 -1.8328e+00 -4.4012e-01 -4.2269e+00 +3.7351e+00 +4.0233e+00 +1.9399e+00 -1.5116e+00 -1.9741e+00 +4.7359e+00 +2.8128e+00 -4.3513e+00 +2.8460e+00 +6.6041e-01 +1.4985e+00 -2.1702e+00 -6.6228e-01 +3.2361e+00 -2.2686e+00
% function evaluation | noise-free fitness - Fopt (9.625000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.301852345e+01 +2.301852345e+01 +1.192685235e+02 +1.192685235e+02 -4.7702e+00 +9.9230e-01 +3.1964e+00 +4.2897e+00 +1.5849e+00 +2.4431e+00 +2.8593e+00 +3.9917e+00 +4.6295e+00 -3.9351e+00 -1.6362e+00 -1.3804e+00 -3.9481e+00 -2.3848e-01 -3.6354e+00 -3.8375e+00 -5.9135e-01 -2.6614e+00 +5.8323e-01 +2.2502e+00
3 +1.409254092e+01 +1.409254092e+01 +1.103425409e+02 +1.103425409e+02 -3.5449e+00 -2.9950e+00 -1.5322e+00 +3.7307e+00 -3.5555e+00 -2.9872e+00 -5.0179e-01 +1.8646e+00 -1.3470e+00 -4.1368e+00 +3.0511e+00 +4.5628e+00 +4.2033e+00 -3.4641e+00 -3.5561e+00 -4.2247e+00 +4.2945e+00 +3.5763e+00 +3.2587e+00 +3.0400e+00
4 +8.452561612e+00 +8.452561612e+00 +1.047025616e+02 +1.047025616e+02 -3.5736e+00 +2.4508e+00 +9.3105e-01 +1.7771e+00 +4.5240e+00 +4.6155e+00 -3.6605e+00 +1.3528e-01 +8.8240e-01 -3.2079e-01 +3.7898e+00 -1.1088e+00 +4.8420e+00 -1.4809e+00 +1.8248e+00 -2.4771e+00 +3.8058e+00 +1.1883e+00 -6.3356e-01 -2.5772e+00
47 +3.493052557e+00 +3.493052557e+00 +9.974305256e+01 +9.974305256e+01 +2.3267e+00 -3.8966e-01 -1.1396e+00 +3.9650e+00 +4.7476e+00 -1.9147e+00 +1.0970e+00 +3.7295e-01 -2.8142e-01 +4.7995e+00 +4.0342e+00 +3.8270e+00 +4.6283e+00 -1.1556e+00 +7.8506e-01 +3.9359e+00 -1.0910e+00 +6.9517e-01 +4.7179e+00 -3.5902e+00
% function evaluation | noise-free fitness - Fopt (1.467200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.396669246e+01 +1.396669246e+01 +1.606866925e+02 +1.606866925e+02 +3.4818e+00 -4.6308e+00 -4.8952e+00 -1.3833e+00 +2.3141e+00 -2.2314e+00 +3.8964e+00 -1.8328e+00 +3.3705e+00 +4.5267e+00 +1.1189e+00 -4.0746e+00 -2.9390e+00 +3.8630e+00 -7.6612e-01 -4.2631e+00 -9.1807e-01 -4.4654e-01 -2.8510e+00 +4.1910e+00
