% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.063614118e+07 +2.063614118e+07 +2.063608624e+07 +2.063608624e+07 -3.5617e-01 +1.9956e+00 -2.4105e+00 +1.1037e+00 -3.5497e-01 +3.9800e+00 -2.5601e+00 -1.4241e+00 +2.2744e+00 -2.7010e+00 +1.2928e+00 -3.8193e+00 +3.3406e+00 +4.2726e-01 +3.6603e-01 +8.2602e-01 -1.8343e+00 -4.6354e+00 +8.1458e-01 -1.5149e+00
6 +1.382260129e+07 +1.382260129e+07 +1.382254635e+07 +1.382254635e+07 -3.2196e-01 +2.4701e-01 +2.2429e+00 +2.3118e+00 -8.1074e-01 -9.2873e-01 -7.7316e-03 +3.9626e+00 -5.1082e-01 -4.9190e+00 +3.4721e+00 -1.7495e+00 -6.2048e-01 +1.3296e+00 -5.6055e-01 -1.3254e+00 +1.2547e+00 -8.9501e-01 -3.6884e+00 +6.5483e-01
10 +4.596515275e+06 +4.596515275e+06 +4.596460335e+06 +4.596460335e+06 +2.1389e+00 -1.9301e+00 +1.6391e+00 -6.0679e-01 -1.5355e+00 -5.9999e-01 +5.4073e-01 +1.4530e+00 -4.0468e+00 +3.9096e+00 +1.7542e+00 +1.3342e+00 +2.3433e+00 +4.5959e+00 +2.8558e+00 +2.7305e+00 +1.0374e-01 +2.3047e+00 -2.7556e+00 +6.8718e-01
19 +2.413245262e+06 +2.413245262e+06 +2.413190322e+06 +2.413190322e+06 -2.7700e+00 -1.1301e+00 +2.5447e-02 -9.6295e-01 -1.5042e+00 +2.4345e+00 -3.9659e+00 +7.0238e-01 -4.2581e+00 -1.0108e+00 +7.7049e-01 -2.5910e+00 -4.4657e+00 -1.1797e+00 -3.1027e+00 -1.4378e+00 +9.7551e-01 +2.7723e+00 -4.4234e-02 +3.5713e-02
% function evaluation | noise-free fitness - Fopt (5.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.049546844e+06 +4.049546844e+06 +4.049605974e+06 +4.049605974e+06 -4.1256e+00 -4.0163e+00 -1.0665e+00 -4.6936e-01 +2.2263e+00 -3.8854e+00 +1.5872e+00 -4.1720e+00 +2.0509e+00 +2.7687e+00 +4.5224e+00 -3.9641e+00 -3.0376e+00 +2.6998e+00 +4.6374e+00 +4.9972e+00 -4.7908e+00 +1.6090e+00 -1.0668e+00 +8.7497e-01
23 +2.813633800e+06 +2.813633800e+06 +2.813692930e+06 +2.813692930e+06 +2.2417e+00 +4.6675e+00 -1.2749e+00 +4.6862e+00 -1.8223e+00 +2.3138e+00 +3.9935e+00 +4.4774e+00 +6.9240e-01 -2.7449e+00 +4.8947e+00 -1.4337e+00 -4.2170e+00 -1.4768e+00 +1.2293e+00 -1.0167e-01 +2.1936e+00 +4.4249e+00 -2.3497e+00 +3.0731e+00
113 +1.827281637e+06 +1.827281637e+06 +1.827340767e+06 +1.827340767e+06 -4.2729e+00 +3.1892e-01 -2.1207e+00 +4.1962e+00 -6.5066e+00 +2.2939e+00 -1.4521e+00 +5.0910e+00 -7.0440e-02 -5.0751e-01 +1.3162e+00 +3.1439e-01 -6.8997e+00 -2.0965e+00 +3.5382e+00 +1.4097e+00 +3.2049e+00 +7.0739e+00 +1.2682e+00 +4.1367e-01
% function evaluation | noise-free fitness - Fopt (-4.915300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.400880673e+07 +2.400880673e+07 +2.400831520e+07 +2.400831520e+07 -8.7182e-01 -3.6276e+00 -2.9566e+00 +1.2402e+00 -4.6182e+00 -8.7646e-01 -2.2097e+00 -8.5334e-01 -1.2403e+00 -3.7250e-01 +1.5459e+00 +3.6714e+00 -2.7573e+00 +3.7921e+00 +1.5711e+00 +4.5767e+00 +2.0882e-01 +3.9332e+00 -4.9999e+00 -4.2902e+00
3 +5.096346962e+06 +5.096346962e+06 +5.095855432e+06 +5.095855432e+06 +4.0855e+00 +1.7568e+00 -4.5339e+00 -1.7757e+00 +2.3891e+00 +5.6177e-02 +2.5505e+00 +1.3671e+00 +2.5007e+00 -4.0532e+00 -1.9266e+00 -6.0611e-01 +2.4975e+00 -2.9065e+00 -1.8156e+00 -4.5813e+00 -1.5919e-01 -7.6573e-01 +4.1377e+00 +1.1186e-01
7 +3.412751741e+06 +3.412751741e+06 +3.412260211e+06 +3.412260211e+06 +2.3303e+00 +3.1870e+00 +3.9752e+00 -3.6417e+00 -1.6456e+00 +2.8683e+00 +1.4739e+00 +1.3406e+00 +2.7893e+00 +4.9667e-01 +3.3207e+00 -1.1237e+00 -1.4088e+00 -4.8273e+00 +9.8489e-01 +7.3384e-01 -5.7277e-02 +3.7462e+00 -4.0639e+00 -3.4475e+00
% function evaluation | noise-free fitness - Fopt (-1.702000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.122703234e+07 +2.122703234e+07 +2.122686214e+07 +2.122686214e+07 -8.4997e-01 +3.0493e-01 +3.2004e+00 +1.1527e+00 -3.7353e+00 -3.8239e+00 +3.7387e+00 +1.0462e-01 +4.7127e+00 +1.6270e+00 -2.5084e+00 -1.0006e+00 -2.0235e+00 -8.1194e-01 +3.5898e+00 -2.1263e+00 -2.7138e+00 -3.0154e+00 +2.9194e+00 +7.6523e-01
2 +8.615907524e+06 +8.615907524e+06 +8.615737324e+06 +8.615737324e+06 +4.0928e+00 -1.0656e-01 -2.1076e+00 -4.1033e+00 +2.5594e+00 +3.9836e+00 -3.2492e+00 +1.2910e+00 +1.3259e+00 -1.7282e+00 -5.1502e-01 -8.7592e-01 +1.5159e+00 -8.4644e-01 +2.3003e+00 -7.3443e-01 -4.8170e+00 +1.7784e+00 +2.8247e+00 +4.3969e+00
25 +6.250840160e+06 +6.250840160e+06 +6.250669960e+06 +6.250669960e+06 +1.5186e+00 +1.7541e+00 +2.3161e-01 +1.8039e+00 +1.0993e+00 -4.3354e-02 +4.1804e-01 +3.3336e+00 +4.5768e+00 +4.5812e+00 +4.4103e+00 +3.5815e+00 -1.0964e+00 -4.0897e+00 +4.5182e+00 -2.3883e+00 +5.5064e-01 +1.9536e+00 -1.5705e+00 +3.5701e+00
109 +2.079548229e+06 +2.079548229e+06 +2.079378029e+06 +2.079378029e+06 -2.3738e+00 -1.9140e+00 +4.3238e-01 -4.5185e+00 +2.9243e+00 +4.4778e-01 -4.4801e+00 +2.0577e+00 -2.9251e-01 +6.3025e+00 +9.7982e-01 +5.5234e+00 -4.9691e+00 -4.3877e+00 -5.7638e+00 -1.9004e+00 -3.8077e+00 +2.2652e+00 -6.2389e-01 -2.4108e+00
% function evaluation | noise-free fitness - Fopt (-4.697500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.896926681e+07 +5.896926681e+07 +5.896879706e+07 +5.896879706e+07 -2.1309e+00 -2.9313e+00 -7.6814e-01 +4.9161e+00 +1.1499e+00 -3.1863e+00 -3.8466e+00 +1.8726e-01 -4.9499e+00 -2.4925e+00 +2.9918e+00 +3.1775e+00 -4.8742e+00 +4.2371e+00 -4.0912e+00 -1.2177e+00 -2.9844e+00 -1.5138e+00 +2.7779e+00 -4.5686e-01
