% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.899096313e+02 +2.899096313e+02 +2.375596313e+02 +2.375596313e+02 -2.4170e+00 -4.9191e+00 -1.4957e+00 +4.0111e+00 +2.6388e+00 -3.9813e+00 -3.7534e+00 -3.1630e+00 -3.3149e+00 +3.5801e+00 -2.5144e+00 +4.3096e+00 +2.1012e+00 +1.8994e+00 -4.3131e-01 -5.1113e-01 +7.1800e-01 -3.1456e+00 -1.5731e+00 +2.2488e+00
2 +1.639890976e+02 +1.639890976e+02 +1.116390976e+02 +1.116390976e+02 -2.8896e+00 +4.4240e+00 +2.6884e+00 +3.2994e+00 +2.5440e+00 +1.8937e+00 +4.6269e+00 -4.9931e+00 +4.4633e+00 +1.3891e+00 -3.1132e-01 +2.1342e+00 -4.3477e+00 +1.5861e+00 -7.9213e-01 -2.0195e+00 +2.1528e+00 +2.4753e+00 -4.3535e+00 -8.9055e-02
8 +1.427563743e+02 +1.427563743e+02 +9.040637430e+01 +9.040637430e+01 -1.5998e+00 +2.1437e+00 +3.7868e+00 +1.5634e+00 -8.2246e-01 -2.3461e+00 +4.1572e+00 -3.6896e+00 +2.5307e+00 -4.9567e+00 -4.5323e+00 +8.0643e-01 -6.0781e-01 -1.9887e+00 -5.0072e-01 +3.3142e+00 +1.7523e+00 -4.6825e+00 -1.2788e+00 -1.5815e+00
16 +9.609711307e+01 +9.609711307e+01 +4.374711307e+01 +4.374711307e+01 +2.3155e+00 +4.1850e+00 -3.9077e+00 -3.5885e+00 -9.1846e-01 -1.0944e+00 -9.4023e-01 +5.5233e-01 -2.7291e+00 +3.2589e+00 +3.5328e+00 +3.4971e-02 +3.0320e-01 -2.4241e+00 -3.0014e+00 +3.7937e+00 +3.3397e+00 -4.9503e+00 +3.9242e+00 -2.1288e+00
30 +4.537280672e+01 +4.537280672e+01 -6.977193285e+00 -6.977193285e+00 +2.5241e+00 +2.4760e+00 -2.8037e+00 -4.7708e+00 -1.3502e+00 -3.9689e-02 -4.3810e+00 -4.2681e+00 -3.2472e+00 -2.2369e+00 +3.5357e+00 -3.6718e-01 -6.7187e-01 -2.8371e-01 -3.5747e-02 +1.5325e+00 -3.8205e+00 -6.8921e-01 -6.7096e-01 -3.5377e+00
% function evaluation | noise-free fitness - Fopt (-1.795400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.205356795e+02 +3.205356795e+02 +1.409956795e+02 +1.409956795e+02 -4.3784e+00 -3.7112e+00 +1.1057e+00 +1.4000e+00 +4.4072e+00 +3.9276e+00 +1.1455e+00 +4.7174e+00 -2.4150e+00 -4.0814e+00 -3.7262e+00 +2.3068e+00 +6.7511e-01 -9.5540e-01 +4.5011e+00 +3.8429e+00 -2.0936e+00 -3.3537e+00 -3.8332e+00 +2.3219e+00
2 +5.261149622e+01 +5.261149622e+01 -1.269285038e+02 -1.269285038e+02 +4.6628e-01 -3.6231e+00 -1.0872e+00 +4.5079e+00 +4.7544e+00 +6.3374e-01 -1.9580e-01 +3.3806e-01 -1.3236e+00 +1.2148e+00 -2.9601e+00 -4.6399e+00 +2.1053e+00 +3.1681e+00 -2.3624e+00 -2.2007e+00 +3.0568e+00 +1.5856e+00 +3.0574e+00 +3.9684e+00
% function evaluation | noise-free fitness - Fopt (7.731000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.914877023e+01 +5.914877023e+01 +1.364587702e+02 +1.364587702e+02 -4.8560e+00 -4.4472e+00 +8.3945e-01 -3.4053e+00 +1.6713e+00 -1.3044e+00 -4.2958e+00 +3.0367e+00 +2.7738e+00 +4.0027e+00 +5.9956e-01 -5.4090e-01 +1.0246e+00 -2.5802e+00 +2.2772e+00 +5.8450e-01 +1.8371e+00 -2.9617e+00 +1.4025e+00 +5.2266e-01
