% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.151103997e+02 +6.151103997e+02 +7.177203997e+02 +7.177203997e+02 +9.3210e-01 -1.7883e+00 -4.8765e+00 +2.3511e+00 +8.8341e-01 +7.8637e-01 -1.9685e+00 +7.2224e-01 -2.4594e+00 -1.2591e+00 -8.8444e-01 +6.2121e-01 +4.1489e+00 +4.2003e+00 -8.4221e-01 -3.6865e+00 -4.1103e+00 -4.8042e+00 +5.8177e-01 -3.0324e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.555792436e+02 +8.555792436e+02 +9.488792436e+02 +9.488792436e+02 +1.8730e+00 -4.9020e+00 +1.2057e+00 -2.3249e+00 +3.6011e+00 +6.6930e-01 +3.2187e+00 -2.5587e+00 -1.8068e+00 +2.9104e+00 -1.3898e+00 +3.3419e+00 -3.0494e+00 +4.6036e+00 -3.0456e+00 +2.8232e+00 -3.8117e+00 -2.9311e+00 +3.0267e+00 +3.4547e-01
10 +5.430767331e+02 +5.430767331e+02 +6.363767331e+02 +6.363767331e+02 -2.9463e+00 +3.0345e-01 -1.5139e+00 +2.5636e+00 -8.8774e-01 -8.0571e-01 -2.4767e+00 -4.6787e+00 +1.2834e+00 +1.1880e+00 -3.8177e+00 +1.6935e+00 -9.0447e-01 +2.3932e+00 +4.1064e+00 -1.0348e+00 +3.4616e+00 -3.5947e-01 +4.1029e+00 +1.6407e+00
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.416609451e+02 +6.416609451e+02 +6.553009451e+02 +6.553009451e+02 +1.8966e+00 -4.0218e+00 -2.4912e+00 -8.2896e-03 -1.9203e+00 -1.4703e+00 -9.7171e-01 -1.6123e+00 +1.0460e+00 +4.1539e+00 -1.0112e+00 -2.5808e+00 +1.2419e+00 -1.1820e-01 -1.6987e+00 -1.8529e+00 -2.5602e+00 +1.6764e+00 +4.7310e+00 +6.3550e-02
2 +5.642270711e+02 +5.642270711e+02 +5.778670711e+02 +5.778670711e+02 -3.8863e+00 +3.9028e-01 +3.3645e+00 -3.4076e+00 -3.0130e+00 +4.7147e-01 -4.8846e+00 +2.5948e-01 -3.5044e+00 -5.0617e-01 -3.3816e+00 -1.6773e+00 +1.8932e+00 -2.9919e+00 +5.6252e-03 -1.4252e+00 -1.2891e+00 -1.0102e+00 +2.5263e+00 -2.8856e+00
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.036232348e+03 +1.036232348e+03 +1.231032348e+03 +1.231032348e+03 -3.0382e+00 +3.8910e+00 -4.5962e+00 -3.5005e+00 -4.5591e+00 +4.8774e+00 -3.2261e+00 +2.2026e+00 -3.6918e+00 +1.3185e+00 +3.5656e+00 -4.9664e+00 +1.3916e+00 -3.8247e+00 -1.1481e+00 -7.8014e-01 +1.9370e+00 -1.5789e+00 -3.6220e+00 +8.6952e-01
2 +9.529184986e+02 +9.529184986e+02 +1.147718499e+03 +1.147718499e+03 +2.8853e-01 -2.3563e+00 +2.8661e+00 +3.8776e+00 -3.4195e+00 -4.9420e+00 -3.0098e+00 -3.1315e+00 -3.2247e+00 -1.5630e+00 -4.2836e+00 -2.2746e+00 -1.7842e+00 -3.6676e+00 -3.4702e+00 +1.1698e+00 +3.2533e+00 -2.5023e-01 -3.5096e+00 -2.9423e+00
23 +6.133824661e+02 +6.133824661e+02 +8.081824661e+02 +8.081824661e+02 +2.9429e+00 +2.9912e+00 +2.2127e+00 +1.2760e+00 -3.8542e-01 +6.0993e-02 -4.2414e-01 +8.3236e-01 -4.3720e+00 -1.5799e+00 +2.9979e+00 +2.1412e+00 -1.1153e+00 -1.1668e+00 +4.0027e+00 +3.6405e+00 -3.4721e+00 -4.5184e-01 +1.2337e+00 +4.1376e-01
% function evaluation | noise-free fitness - Fopt (-1.335900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
