% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.043075510e+02 +1.043075510e+02 +1.756575510e+02 +1.756575510e+02 +4.6803e+00 +3.8470e+00 +2.2805e+00 +3.7821e+00 +4.3559e+00 -2.5374e+00 +3.0788e+00 -4.7167e+00 -2.5994e+00 +6.8922e-02 -4.0699e+00 +3.4289e+00 +2.7048e+00 -4.0726e-01 +2.4290e+00 -1.0960e+00 -3.5834e+00 +2.9665e+00 +3.6924e+00 -1.7930e+00
3 +8.927559738e+01 +8.927559738e+01 +1.606255974e+02 +1.606255974e+02 -4.3624e+00 -9.3770e-01 -1.7075e+00 -2.6938e+00 -2.7501e+00 +1.4152e+00 +2.5983e+00 -3.6056e+00 +8.6087e-01 +1.9870e+00 -4.5237e+00 -4.7824e+00 -3.6091e+00 +3.8662e-01 -1.6863e+00 +4.9419e+00 -1.1074e+00 -3.8788e+00 -3.4397e+00 -3.9552e+00
4 +5.705981713e+01 +5.705981713e+01 +1.284098171e+02 +1.284098171e+02 -1.2156e+00 -4.6972e+00 +3.4016e+00 +1.8971e+00 -2.4086e+00 -1.7448e+00 -3.1795e+00 +1.1160e-01 +2.8044e+00 +4.4031e+00 -4.8789e+00 +3.8133e-01 +1.0768e+00 -1.7157e+00 -8.8478e-01 -4.8354e+00 +3.2112e+00 -2.0109e+00 -3.6163e+00 -6.2239e-01
142 +3.582780041e+01 +3.582780041e+01 +1.071778004e+02 +1.071778004e+02 +3.1624e+00 +3.8933e-01 -3.2408e+00 -2.4116e+00 +1.1268e+00 -7.7820e-01 +5.9757e+00 +9.5727e-01 +2.8056e+00 -8.0390e-01 +5.8291e+00 +2.0579e+00 +5.8568e-01 -2.1612e+00 +1.3440e-02 -1.6548e+00 +3.8924e+00 +4.0585e+00 +5.6846e+00 -3.9874e+00
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.081665496e+02 +1.081665496e+02 -2.470534504e+02 -2.470534504e+02 -8.1733e-01 +1.4354e-01 -4.6677e+00 +2.2365e+00 -3.5021e-01 +2.5100e-01 +2.3873e+00 +4.5812e+00 +2.8200e+00 +4.0763e+00 -2.4748e+00 +4.1227e+00 -3.2148e+00 -3.9307e+00 -1.0879e+00 +4.1487e+00 +1.3501e+00 +1.8610e+00 +3.0342e+00 -1.1068e+00
3 +7.695951463e+01 +7.695951463e+01 -2.782604854e+02 -2.782604854e+02 -4.8705e+00 -1.1330e-01 -7.5456e-01 +1.4764e+00 +1.4267e+00 -3.6985e+00 +2.0514e+00 -3.3048e+00 -5.9019e-01 +4.3491e+00 -1.7861e+00 -3.3638e+00 -3.8732e+00 +3.9657e+00 -9.7988e-01 +4.6124e-01 +2.1294e+00 -2.9353e+00 +3.2728e+00 +2.4330e+00
6 +4.867897210e+01 +4.867897210e+01 -3.065410279e+02 -3.065410279e+02 +8.2728e-01 +2.7195e+00 -9.0028e-02 -9.8493e-01 -3.7814e+00 +3.6806e+00 -2.8886e+00 +7.4545e-01 +2.7735e+00 +4.4809e+00 +1.5655e+00 +2.3197e+00 -5.9445e-01 -4.6417e+00 -3.4407e+00 -5.4649e-01 -2.0295e+00 +4.0735e+00 +1.6256e-01 +3.0130e+00
82 +3.041243542e+01 +3.041243542e+01 -3.248075646e+02 -3.248075646e+02 -2.8009e+00 -4.9838e+00 -3.1465e+00 -2.4105e+00 +4.2883e+00 -3.9639e+00 +3.3223e+00 +3.4076e+00 +2.2550e+00 +1.7060e+00 +9.4063e-01 +4.9748e+00 -1.2362e+00 -1.4548e+00 +3.5452e+00 -1.0964e+00 +1.5977e+00 +2.8993e+00 -3.0523e-02 +3.2056e-01
% function evaluation | noise-free fitness - Fopt (9.917000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.661547742e+01 +9.661547742e+01 +1.957854774e+02 +1.957854774e+02 +2.1677e+00 +1.6854e+00 +1.2554e+00 +8.1909e-01 -1.6479e+00 -3.3030e+00 -3.0960e+00 +1.4916e+00 +3.5399e+00 -8.8761e-01 +3.8698e+00 -4.0322e+00 +4.0618e+00 +3.3007e+00 +2.7288e-01 +4.5608e+00 -1.2678e+00 +4.8260e+00 +4.2828e-01 -4.5555e+00
2 +5.576520930e+01 +5.576520930e+01 +1.549352093e+02 +1.549352093e+02 +4.1030e+00 +1.4294e+00 +4.3271e+00 -4.2344e+00 -3.3077e-02 +1.0629e-01 +2.2762e+00 +1.1969e+00 -7.6050e-01 -2.5519e+00 -2.0493e+00 +3.7002e+00 +2.1110e+00 -1.0824e+00 +3.2095e+00 -3.6786e+00 -3.7534e+00 -4.0530e+00 +7.9963e-01 +8.8868e-01
42 +3.813804003e+01 +3.813804003e+01 +1.373080400e+02 +1.373080400e+02 +1.1102e+00 -4.7811e+00 -3.2174e+00 -4.8521e+00 +1.6757e+00 -3.6502e+00 -3.6503e+00 +1.2132e+00 +2.1238e+00 +2.1162e-01 +3.9390e+00 +2.6567e+00 -8.0668e-01 -3.2747e-01 -2.3651e+00 -7.3548e-01 +4.6567e+00 +4.3745e+00 +1.1019e+00 -2.7440e+00
% function evaluation | noise-free fitness - Fopt (-5.179100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.029971322e+01 +8.029971322e+01 -4.376102868e+02 -4.376102868e+02 +3.1827e+00 +1.1680e-01 +2.7270e+00 -1.3963e+00 -2.1512e+00 +4.6576e+00 +4.2137e+00 -2.9505e-01 +1.0988e+00 -3.3022e+00 +3.1219e+00 -3.3426e+00 -3.7982e+00 +1.9765e+00 -3.2834e+00 -4.5857e+00 +3.4680e+00 +2.0796e+00 -1.8271e+00 -4.5576e+00
4 +6.251636739e+01 +6.251636739e+01 -4.553936326e+02 -4.553936326e+02 +2.4420e+00 +2.8171e-01 -6.9169e-01 -4.0952e+00 +5.9471e-01 +3.7751e+00 +4.7267e+00 -4.0825e+00 +2.6600e+00 -4.1567e+00 -1.9657e+00 -2.2103e+00 +1.3270e+00 +3.4276e+00 +4.1968e+00 -5.8298e-01 +4.8697e+00 -1.2621e+00 +1.3628e+00 -2.7582e+00
45 +3.774102610e+01 +3.774102610e+01 -4.801689739e+02 -4.801689739e+02 +2.2817e+00 -3.0929e+00 +5.7662e-01 -4.1340e+00 -3.2203e+00 -1.3666e+00 -4.2493e+00 -4.0026e-01 -3.1797e+00 -2.4279e+00 -2.3635e+00 +1.8065e+00 +1.5044e+00 +2.6697e+00 -4.9067e+00 -1.7713e-01 -4.7806e+00 +3.7776e+00 -1.2610e-01 +4.1964e+00
% function evaluation | noise-free fitness - Fopt (-5.721000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.394471516e+01 +5.394471516e+01 -3.265284840e+00 -3.265284840e+00 +2.6471e+00 +1.9507e+00 +3.1493e-01 -2.9992e+00 -3.7670e-01 -3.5450e+00 +4.1982e+00 -3.7820e+00 +3.5917e-01 -3.5559e+00 -4.1974e+00 +4.1304e+00 -3.5821e+00 -2.5770e+00 -4.5846e+00 +3.3936e-02 -7.7485e-01 -4.6137e+00 +8.3605e-01 +4.0222e+00
54 +3.436667004e+01 +3.436667004e+01 -2.284332996e+01 -2.284332996e+01 -2.6798e+00 +2.2480e+00 -1.5621e+00 -4.1679e+00 -4.5817e+00 -3.6760e+00 +2.1928e+00 -1.1182e+00 +6.2517e-01 +4.1884e+00 -2.9882e+00 +1.6916e+00 +1.8356e+00 +2.3256e+00 +4.3216e+00 +2.3542e+00 +8.4615e-01 +1.8334e+00 -3.1236e+00 -1.6229e+00
% function evaluation | noise-free fitness - Fopt (-2.778000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
