% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.828630197e+02 +2.828630197e+02 +2.659230197e+02 +2.659230197e+02 -2.3225e+00 +4.9535e+00 -1.2010e+00 +4.0732e+00 -4.1533e+00 -6.3791e-01 -3.8314e+00 +1.5626e-01 +2.2124e+00 -2.0163e+00 +9.4803e-01 +1.8725e+00 +1.1673e+00 -2.1802e+00 -6.0096e-01 -6.8552e-02 +2.8603e+00 +4.8538e-01 -2.1279e+00 +2.2485e+00
3 +1.359178208e+02 +1.359178208e+02 +1.189778208e+02 +1.189778208e+02 -2.1312e+00 +1.7480e+00 -1.9646e+00 -3.4560e+00 -2.8819e+00 -2.9449e+00 +2.2604e+00 -3.8367e+00 -1.8606e+00 -4.4986e+00 -3.4499e+00 +2.3836e+00 -3.4040e+00 +3.9852e-01 -3.7537e-01 +3.7821e+00 +5.2158e-01 +4.0314e+00 +6.9912e-02 -3.6098e+00
18 +5.874668194e+01 +5.874668194e+01 +4.180668194e+01 +4.180668194e+01 +6.8223e-01 +9.0418e-01 -1.1490e+00 +4.2590e+00 +3.6911e+00 -3.2707e+00 +2.6852e-01 +1.4638e+00 -3.2736e+00 -2.7913e+00 +3.7240e+00 +2.5801e+00 -3.3072e+00 -4.6384e+00 -4.6260e-02 +3.8632e-01 -1.7042e-02 +1.7158e+00 +2.0859e+00 -2.2836e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.923257963e+01 +9.923257963e+01 +1.180425796e+02 +1.180425796e+02 -2.0069e+00 -2.9621e+00 -2.3629e-01 -4.2461e+00 -9.5869e-01 +4.6862e+00 -1.6396e+00 +3.4899e+00 -3.3551e+00 +3.2018e-01 -2.5449e+00 -2.0609e+00 +2.3292e+00 +3.0982e+00 +3.7640e+00 +1.0836e+00 +3.4372e+00 -1.4600e+00 +9.7679e-01 +4.0991e+00
72 +5.878858269e+01 +5.878858269e+01 +7.759858269e+01 +7.759858269e+01 +2.3438e+00 +4.7427e-01 +1.1649e-01 -3.7896e-01 +3.2847e+00 -1.9099e+00 +1.8768e+00 +1.5661e+00 -4.7441e+00 -9.0588e-01 -2.4743e+00 +3.0999e+00 -1.2539e-01 -2.6265e+00 -1.0722e+00 +2.2789e+00 +1.5731e+00 +4.2263e+00 +8.1807e-01 -1.8865e+00
102 +3.882086133e+01 +3.882086133e+01 +5.763086133e+01 +5.763086133e+01 -3.7087e+00 -1.9335e+00 +1.2888e+00 -2.2923e+00 +2.9269e+00 -2.7148e+00 +3.6031e+00 -4.2246e-01 -4.2690e+00 +5.2226e+00 -3.4769e+00 +4.1707e+00 +2.8768e+00 -4.1025e-01 -1.9233e+00 -4.0686e-01 -2.6574e+00 +2.6360e+00 -2.2042e+00 +3.2833e+00
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.877955907e+02 +1.877955907e+02 +4.609455907e+02 +4.609455907e+02 +4.8052e+00 -3.3279e+00 -5.4026e-01 +1.9421e+00 +2.2137e+00 -4.7079e+00 -1.4030e-01 -1.4228e+00 -3.2829e+00 +2.8105e+00 +2.9998e+00 -1.1827e+00 -1.1347e+00 +9.9795e-01 -2.9908e+00 -1.5107e+00 -2.7124e+00 +3.1736e+00 -2.3172e+00 -3.4236e+00
3 +1.426289569e+02 +1.426289569e+02 +4.157789569e+02 +4.157789569e+02 -2.3115e-01 +3.3007e-01 +3.3723e-01 -2.7824e+00 +3.0556e+00 -3.5768e+00 -3.8619e+00 -1.8322e+00 +2.4984e+00 -3.9713e-01 -3.7443e+00 -1.6258e+00 +3.7108e+00 -9.0598e-01 -3.1188e+00 -4.0966e+00 +3.5542e+00 -9.1991e-01 +3.8449e-01 -4.8218e+00
