% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.583135047e+03 +2.583135047e+03 +2.121045047e+03 +2.121045047e+03 -3.1425e+00 -1.0038e+00 -4.6865e+00 +6.1614e-02 -2.2972e+00 -1.9423e+00 +2.3611e+00 +2.4604e+00 +2.1595e+00 +4.2817e-01 +1.5944e+00 -4.2977e+00 +1.2051e+00 +4.9304e+00 -4.3093e+00 +2.9052e-01 +6.8509e-01 +4.6327e+00 -2.3173e+00 +4.7050e+00
2 +1.557073922e+03 +1.557073922e+03 +1.094983922e+03 +1.094983922e+03 +7.6206e-01 -6.0473e-01 -3.5510e+00 +2.1669e+00 -1.8398e+00 +4.1762e+00 -7.6796e-01 +2.7988e+00 -1.0076e+00 +2.6588e+00 +2.4495e-01 -1.0702e-01 -9.2805e-01 +9.5241e-01 -1.1340e+00 +1.8315e+00 -1.1369e+00 +3.0713e-02 -1.5493e+00 +9.8643e-01
60 +8.709055073e+02 +8.709055073e+02 +4.088155073e+02 +4.088155073e+02 -1.5876e+00 +4.7577e+00 -3.5309e+00 -1.6439e+00 -2.5389e+00 -3.2100e+00 +4.3597e+00 -1.5443e+00 +3.5141e+00 +6.4929e-01 -1.5364e+00 -1.1621e+00 +4.3548e-01 -5.0252e-01 +6.0798e-01 -2.3577e+00 -4.8228e+00 -2.1071e+00 -4.0735e+00 +6.9307e-01
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.360765080e+03 +1.360765080e+03 +1.438425080e+03 +1.438425080e+03 +1.4243e+00 -3.8187e-01 +2.5725e+00 +2.0916e+00 +7.7257e-02 -3.5031e+00 +6.9405e-01 -3.7233e+00 -3.5076e+00 -2.3422e+00 +4.7198e+00 +1.5185e+00 -3.1187e+00 -8.3126e-01 -3.7772e+00 -2.9697e+00 +1.7801e+00 +2.3540e+00 +4.6825e+00 -4.7468e+00
8 +7.792786752e+02 +7.792786752e+02 +8.569386752e+02 +8.569386752e+02 +1.8896e+00 +2.2328e+00 -2.5680e+00 +2.8495e+00 +7.6928e-01 +3.0814e+00 +1.3724e+00 -1.7975e+00 -1.0731e+00 -4.8720e+00 -4.6711e+00 -4.7833e+00 -3.6495e+00 -3.6344e+00 -2.4613e+00 +3.5216e-01 -1.5539e+00 -2.9191e+00 +9.1481e-01 -2.4162e+00
30 +5.965912650e+02 +5.965912650e+02 +6.742512650e+02 +6.742512650e+02 -2.2541e+00 +1.1624e+00 -2.1574e+00 +4.2040e+00 -3.6515e+00 +4.0623e+00 +6.0069e-01 +2.1960e+00 +2.6347e+00 +5.8573e-01 +2.7047e+00 -1.5249e+00 +1.4573e+00 -8.6680e-01 -3.2712e+00 -2.2246e+00 +7.6195e-01 -1.5232e+00 +4.7906e+00 -3.1142e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.110582656e+03 +2.110582656e+03 +2.226262656e+03 +2.226262656e+03 -4.9021e+00 +3.1046e+00 -1.6104e+00 +1.9879e+00 +1.5707e+00 -1.2770e+00 +4.2649e+00 -2.9806e+00 +2.9362e+00 -4.2482e-01 +3.5945e-01 -2.0400e+00 -4.8975e-02 -3.7783e-01 +3.3052e+00 +4.4141e-02 -1.2524e+00 +1.3612e-01 -2.0218e+00 -4.9076e+00
6 +1.412572033e+03 +1.412572033e+03 +1.528252033e+03 +1.528252033e+03 -1.6724e+00 -4.5882e+00 -1.1920e+00 -1.1888e+00 +1.8589e+00 -1.8042e-01 +3.8783e+00 -7.3886e-01 +2.2369e+00 -4.7335e+00 -8.7942e-01 -8.8820e-01 +3.4372e-04 -3.8174e-02 -2.8826e+00 +1.3791e+00 +1.4705e+00 -5.5414e-01 +4.1227e-01 +1.5521e+00
94 +8.975079547e+02 +8.975079547e+02 +1.013187955e+03 +1.013187955e+03 +2.5463e+00 -3.4269e+00 +3.2627e+00 +8.5136e-01 +9.5106e-01 -1.2438e+00 -8.7142e-01 +9.0830e-01 -4.6681e+00 -2.0929e-01 +1.8490e+00 +2.3460e+00 -4.0147e+00 +3.2673e+00 -3.6149e+00 +2.1098e+00 -4.2193e+00 +3.2402e+00 +1.4525e+00 -4.0669e+00
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
