% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.631529539e+02 +2.631529539e+02 +3.426329539e+02 +3.426329539e+02 -2.4797e+00 +1.0072e-02 +4.0796e-01 +1.2551e+00 -1.6480e-01 -1.9783e+00 +1.9457e+00 +4.6420e+00 +1.0152e+00 +2.5991e+00 +1.8624e+00 +4.5792e+00 -4.8459e+00 +9.7079e-01 -3.7359e+00 -1.8199e+00 +2.1617e+00 -1.8971e+00 -4.3227e-01 +4.0355e+00
2 +1.874483388e+02 +1.874483388e+02 +2.669283388e+02 +2.669283388e+02 +2.1869e+00 -3.5481e+00 -1.9502e+00 -2.3047e+00 +4.7818e-01 +1.1918e+00 -6.2729e-01 -4.7148e+00 -4.0477e+00 +2.4267e+00 +9.7143e-01 +2.5798e+00 -1.8454e+00 -1.8056e+00 +1.4981e+00 +3.1485e-01 +1.7169e+00 -4.4109e+00 +1.6704e+00 -4.8048e+00
8 +1.369368152e+02 +1.369368152e+02 +2.164168152e+02 +2.164168152e+02 -1.5082e+00 -2.0181e+00 -6.8708e-01 +2.9774e+00 -2.4927e+00 -1.3698e+00 -1.1633e+00 +3.9020e+00 -6.0925e-01 +2.5173e+00 +2.0707e+00 -1.3550e+00 +1.1815e+00 +2.7099e+00 +3.3318e+00 +4.1983e+00 +4.5783e+00 -2.5942e+00 +1.3576e+00 +1.8653e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.355510230e+02 +4.355510230e+02 +8.300310230e+02 +8.300310230e+02 +4.3036e+00 +1.5815e-01 -2.0765e+00 -3.4052e+00 -5.4278e-01 -3.0186e+00 -2.6495e+00 +3.2580e+00 +3.0294e+00 +3.5552e+00 -1.0079e+00 -2.6014e+00 +1.1992e-02 -3.0280e+00 +1.3005e+00 -9.3756e-01 +2.7712e+00 -1.4324e+00 -4.6844e+00 -2.1094e+00
2 +3.303797620e+02 +3.303797620e+02 +7.248597620e+02 +7.248597620e+02 -3.2028e+00 -4.0124e+00 +2.8143e+00 -4.3525e-01 +1.1683e+00 -3.3415e+00 -4.8415e+00 +1.0215e+00 +3.5973e+00 +3.5910e+00 +3.4435e+00 -2.9710e+00 +2.3328e+00 +1.0014e+00 -4.6475e+00 +2.0586e+00 +4.1923e+00 +3.1396e+00 +4.5516e+00 +1.3431e+00
3 +2.390478302e+02 +2.390478302e+02 +6.335278302e+02 +6.335278302e+02 +2.9193e+00 -3.5019e+00 -1.5393e+00 +2.9766e-01 +4.5594e+00 +7.5539e-01 +4.0520e+00 -6.4314e-01 +2.8453e+00 +1.0285e+00 -5.1024e-01 -2.4237e-01 -5.1848e-02 -2.9686e+00 +1.4014e+00 +2.0245e+00 +2.3445e-01 -4.9053e+00 -3.2425e-01 -5.5516e-01
5 +1.583039290e+02 +1.583039290e+02 +5.527839290e+02 +5.527839290e+02 -3.1947e+00 +3.3376e+00 -2.9375e+00 -1.0115e+00 +3.0050e-01 +3.7124e+00 +1.3937e+00 +9.4806e-01 -2.8775e+00 -3.2763e+00 +2.3209e+00 +1.6129e+00 +7.4686e-01 +4.6592e+00 -3.9057e+00 +1.5041e+00 -2.8095e+00 +2.5718e+00 +4.4297e+00 +3.4337e-01
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.588711947e+02 +2.588711947e+02 +1.176119473e+01 +1.176119473e+01 -2.4914e+00 -4.1624e+00 +1.1113e+00 +3.5590e+00 +1.3302e+00 +3.2663e+00 -2.2239e+00 -1.7908e+00 +1.5426e+00 +4.9743e+00 -4.2937e+00 +4.8950e+00 -1.5753e+00 -6.7338e-01 +1.4222e+00 +1.5192e+00 +2.7374e+00 -4.0418e+00 +2.7059e+00 -4.1513e+00
7 +2.116167097e+02 +2.116167097e+02 -3.549329028e+01 -3.549329028e+01 -1.6189e+00 +8.0393e-01 -1.7187e+00 -2.5683e+00 +2.1547e+00 +7.5811e-01 +1.6713e+00 -1.8803e+00 +3.2191e+00 +4.6997e+00 +8.5320e-01 -1.6183e+00 +2.8676e+00 -2.7831e+00 -2.4357e-01 +3.8647e+00 -4.5072e+00 +4.8103e+00 +8.2228e-01 -3.9371e+00
26 +1.466749970e+02 +1.466749970e+02 -1.004350030e+02 -1.004350030e+02 -3.7480e+00 -4.2146e+00 +2.7091e-01 +2.4182e+00 +3.3096e+00 +3.3449e+00 +1.1385e+00 -2.4604e+00 -1.4158e+00 +4.3497e+00 +1.8761e+00 -1.4848e+00 +2.3726e+00 +1.1538e+00 +2.2404e+00 +1.0862e+00 +2.1195e+00 -4.4122e+00 +1.4713e+00 -1.9190e+00
158 +6.621469313e+01 +6.621469313e+01 -1.808953069e+02 -1.808953069e+02 -3.8093e+00 -2.7964e-01 -9.8238e-01 -3.5152e+00 -4.3552e+00 +2.1865e+00 +2.2214e+00 -2.2969e+00 -2.7021e+00 +3.1466e-01 +4.1717e+00 -2.1171e+00 +1.8347e+00 -3.7049e+00 +3.3039e+00 +1.3024e+00 +1.8360e+00 -6.2676e-01 +3.5828e-01 -1.6852e+00
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.266701423e+02 +3.266701423e+02 +1.746301423e+02 +1.746301423e+02 +6.1645e-01 -3.7037e+00 -4.1804e+00 +2.3659e+00 -2.9517e+00 +1.0025e+00 -4.2935e+00 +3.8780e+00 -3.1472e+00 +2.9025e+00 +1.3129e+00 +8.2409e-01 +4.7837e+00 -1.5923e+00 +1.6081e+00 +8.3203e-01 +3.2452e+00 +3.7003e+00 -3.2431e-01 -4.8408e+00
3 +2.446581266e+02 +2.446581266e+02 +9.261812656e+01 +9.261812656e+01 -4.6901e+00 +6.8626e-01 +3.6511e+00 -1.0519e+00 -3.7112e+00 +4.9419e+00 +3.6628e+00 -3.0142e+00 -1.0488e+00 +2.9880e+00 -2.0910e+00 -1.5832e+00 -3.3691e+00 -1.4714e-01 +7.3076e-01 +4.6286e+00 +2.3684e+00 +6.6035e-01 -4.9444e+00 +2.2831e+00
