% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.059525897e+03 +3.059525897e+03 +3.089495897e+03 +3.089495897e+03 -5.1956e-01 -2.8545e+00 +9.9960e-01 +2.6262e+00 -5.2293e-01 +1.7996e+00 +1.8291e+00 +4.8782e+00 +4.6495e+00 -3.8175e+00 -4.2008e+00 +4.8806e-01 -2.0478e+00 +4.8120e+00 +2.4522e+00 -3.3459e+00 -3.7897e+00 -3.8082e+00 +1.7543e+00 +1.5476e+00
5 +2.386063722e+03 +2.386063722e+03 +2.416033722e+03 +2.416033722e+03 +4.3032e+00 +3.2166e+00 -2.4086e+00 +4.2339e+00 +1.8797e+00 +2.9950e+00 -3.2767e+00 -3.9862e-01 -1.0451e+00 -1.5862e+00 -2.0484e+00 +4.5400e+00 +3.9209e+00 +1.0230e+00 -1.6483e+00 +2.1965e+00 -3.5244e+00 -2.6438e+00 +6.8894e-01 -4.7966e+00
% function evaluation | noise-free fitness - Fopt (-5.171000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.861456316e+03 +2.861456316e+03 +2.809746316e+03 +2.809746316e+03 +7.3186e-01 +5.6089e-01 -1.1397e+00 -4.3980e+00 +1.4030e+00 +2.6188e+00 -2.4847e+00 -4.6853e+00 -2.3973e-01 -3.1956e+00 +4.7811e+00 -1.2698e+00 +4.4950e+00 +4.9269e+00 +4.7002e+00 +2.3764e+00 -1.3709e-01 -4.3288e+00 -8.3760e-01 +1.7797e+00
33 +2.274761977e+03 +2.274761977e+03 +2.223051977e+03 +2.223051977e+03 -2.3662e+00 +2.3708e+00 -8.9770e-01 -3.7574e+00 +9.2148e-01 +6.2890e-02 -1.2668e+00 +3.5424e+00 +2.8812e+00 +3.8803e+00 +2.0580e+00 -2.9190e+00 -4.4446e+00 -3.7737e+00 -1.9197e+00 +1.6779e+00 -3.9153e+00 -4.1050e-01 -2.3954e+00 +5.8594e-01
% function evaluation | noise-free fitness - Fopt (-2.799500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.566338711e+03 +3.566338711e+03 +3.286388711e+03 +3.286388711e+03 -2.3591e+00 -4.2859e-01 -4.4663e+00 -4.6918e+00 +2.4119e+00 -1.5353e+00 +1.6032e+00 +3.3511e+00 +1.5211e+00 +2.1434e+00 -2.8270e+00 -4.5401e+00 -9.7819e-01 +3.4936e+00 -3.2162e+00 -1.7919e+00 +2.3517e-01 +3.4265e+00 +3.4278e+00 +7.0047e-01
9 +2.338736672e+03 +2.338736672e+03 +2.058786672e+03 +2.058786672e+03 -2.4510e+00 +3.9469e+00 +1.5733e+00 +3.4539e+00 +1.0095e+00 -3.3912e-01 -4.1416e+00 +2.2476e+00 +8.0465e-01 -1.3729e+00 +1.6630e+00 -1.8848e+00 -1.7984e+00 -1.7877e+00 +1.1856e+00 +2.4361e+00 -8.0396e-01 +5.2541e-01 +2.9484e+00 -3.5252e+00
% function evaluation | noise-free fitness - Fopt (9.319900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.039791676e+03 +4.039791676e+03 +4.971781676e+03 +4.971781676e+03 -2.3878e+00 +5.4680e-02 +3.5722e+00 -1.7465e+00 -2.3235e+00 +4.5068e+00 -3.8468e+00 +9.4884e-01 -3.9231e+00 -1.9137e+00 -2.6380e+00 +4.5822e+00 +3.2383e+00 +2.1406e+00 -4.7311e+00 -3.2972e+00 +4.2234e+00 -7.6851e-01 -1.8703e+00 -2.4183e+00
2 +2.892599958e+03 +2.892599958e+03 +3.824589958e+03 +3.824589958e+03 +1.2986e+00 +1.4425e+00 +3.0339e-01 -4.9805e+00 +3.2938e+00 +3.3105e+00 -1.3867e+00 +3.8054e+00 +4.8983e+00 -1.6870e+00 +1.1974e+00 +1.4992e+00 +4.7579e+00 -6.9492e-01 +3.8150e-01 +1.1492e+00 +2.7308e+00 -9.4576e-01 +1.7942e+00 -4.7434e+00
31 +2.300912886e+03 +2.300912886e+03 +3.232902886e+03 +3.232902886e+03 -8.0093e-01 +2.8539e+00 -2.8629e+00 +3.1139e+00 -3.0505e+00 -9.4721e-01 +2.2781e+00 -4.8015e+00 +2.4220e+00 -1.2991e+00 +1.4437e+00 -9.8495e-01 +4.4127e+00 -9.5372e-01 +4.1446e+00 -1.8949e+00 -3.0543e+00 -2.4852e+00 +4.5072e+00 +4.0760e-01
% function evaluation | noise-free fitness - Fopt (1.133100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
