% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.061735700e+05 +1.061735700e+05 +1.056270700e+05 +1.056270700e+05 +2.2181e+00 -7.4488e-02 +1.4140e+00 +2.2013e+00 -2.6541e+00 -2.3790e+00 -3.1923e+00 -4.2770e+00 -2.7928e+00 +4.4412e+00 +3.6406e+00 +1.5966e+00 -2.1359e+00 +2.3906e+00 -2.8646e+00 -2.0888e+00 +4.8407e-01 -2.2904e+00 -1.9191e+00 +4.1454e+00
3 +7.786479409e+04 +7.786479409e+04 +7.731829409e+04 +7.731829409e+04 +2.7172e+00 +3.0810e+00 -2.4529e+00 +3.5486e+00 +2.4070e+00 +3.1006e+00 +1.6597e+00 +8.0974e-01 -4.7028e+00 +1.3809e+00 +4.9081e+00 -4.4084e+00 +4.7850e+00 -2.8438e+00 +4.3120e+00 -2.9705e+00 +8.0615e-01 +9.7438e-01 -1.3649e+00 +3.9118e+00
25 +4.638168753e+04 +4.638168753e+04 +4.583518753e+04 +4.583518753e+04 +6.2458e-01 +3.2567e+00 -8.4890e-01 +3.6339e+00 -4.6562e+00 +5.6371e-01 +3.8129e+00 +1.4214e+00 -4.6979e+00 -1.7730e+00 +5.2014e-01 +2.3540e+00 +2.6169e+00 +8.5684e-01 +1.9153e-01 -1.3957e+00 -9.1849e-01 -4.2404e+00 -1.3143e-01 +2.9365e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.399775136e+05 +1.399775136e+05 +1.409775136e+05 +1.409775136e+05 -1.5605e+00 -2.3622e+00 +2.7306e+00 -2.3178e+00 -1.7477e-01 -3.5454e+00 -2.7781e+00 -4.7778e+00 -1.1571e+00 +1.0665e+00 +4.9556e+00 -3.3725e+00 -4.7625e+00 -1.1047e+00 -4.0458e+00 +4.8758e-01 +2.5837e+00 -4.9100e+00 -3.2881e+00 -1.1230e+00
17 +9.089578273e+04 +9.089578273e+04 +9.189578273e+04 +9.189578273e+04 -7.4830e-01 +3.3814e+00 -2.0038e+00 +2.1935e+00 -2.6983e+00 +2.9901e+00 +1.0609e+00 -3.1304e+00 +1.7774e+00 +1.1611e-01 -4.1834e+00 +4.5503e+00 -3.3836e+00 +2.4540e+00 -2.8037e+00 -3.3581e+00 -3.8784e+00 -3.2670e-01 -3.8604e+00 +4.2133e+00
19 +5.408011270e+04 +5.408011270e+04 +5.508011270e+04 +5.508011270e+04 +4.4004e+00 +2.2975e+00 -2.8075e+00 -4.6626e-01 -3.4465e+00 +4.3155e+00 +2.9196e+00 +3.3896e+00 +4.0955e+00 -4.5972e+00 +2.1866e+00 -1.5382e+00 -4.5182e+00 +6.9760e-01 -2.2449e+00 +2.5668e+00 -2.1853e+00 -1.9939e+00 -2.0004e+00 -7.8988e-01
87 +3.646216288e+04 +3.646216288e+04 +3.746216288e+04 +3.746216288e+04 -5.3283e-01 +3.8951e+00 -1.0778e+00 -4.5778e+00 +2.5707e+00 -2.1280e-01 +3.9805e+00 -1.1906e+00 -4.0632e+00 -2.0432e+00 +9.9286e-01 +1.1233e+00 -3.4248e+00 +1.9869e+00 -3.1673e+00 -2.7338e+00 -4.7906e-01 -1.8164e+00 +8.1619e-02 -1.0057e-01
% function evaluation | noise-free fitness - Fopt (2.083800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.558348493e+05 +1.558348493e+05 +1.560432293e+05 +1.560432293e+05 -1.6249e+00 +3.9363e+00 +1.1092e+00 +9.7856e-01 -2.6435e+00 -2.2723e+00 -1.2694e+00 +7.7158e-01 +2.6525e+00 +3.4868e+00 -2.3433e+00 -3.2798e+00 +5.3897e-01 -2.3877e+00 -1.5759e+00 +4.6336e-02 +1.9019e+00 -4.1124e+00 +3.1186e+00 +4.8197e+00
